Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon,CobleA,CobleB,CobleC,CobleM,CobleT,Lignin,M_to_C,HIX,BIX,FI
1,2021,2021-May,,0.65,27.34,41.75,0.22,0.78,0.38,0.88,5/20/2021,15:30:00,-17.58796058,-149.850116,843.22,195.02,1000.33,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,0.00992716,0.022415735,0.009133572,0.011128298,0.022016804,0.017116524,1.218394935,0.822242503,0.764862026,1.799810609
1,2022,2022-April,,0.645019185,26.4148936,40.95,0.17,0.69,0.66,0.56,4/12/2022,16:25:00,-17.58796058,-149.850116,843.22,195.02,1000.33,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,0.0349362883462705,0.045490814989807,0.0335417232408751,0.0445729611052868,0.177337280311864,0.111593684491972,0.752512788227048,0.70733510999192,1.03769088241607,2.01228545873824
10,2021,2021-May,,0.65,28.66,43.82,0.18,0.7,0.12,0.14,5/20/2021,11:05:00,-17.5752091,-149.8700014,628.82,586.27,908.48,193.92,1988.96,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,0.005694548,0,0.003953378,0.007162687,0.011086273,0.007558664,1.811789056,0.414914165,0.410492582,1.856158561
10,2022,2022-April,,0.587847615,29.59545471,50.35,0.14,0.68,0.64,0.56,4/12/2022,09:28:00,-17.5752091,-149.8700014,628.82,586.27,908.48,193.92,1988.96,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,0.00800205856325715,0.0239367797854169,0.00674518500281491,0.0117633491627788,0,0,0.573406851184679,2.21339888191062,0.677251100980205,2.0785438359745
100,2021,2021-May,,0.74,27.11,36.73,0.14,0.69,0.21,0.05,5/19/2021,12:45:00,-17.53432151,-149.9101318,541.16,590.83,616.13,605.45,8090.64,Vai'anae/Atiha,SW,Mid lagoon,Hauru,0.006957068,0.021989299,0.005546734,0.009453128,0.017446543,0.010846026,1.704269167,0.534072912,0.719531159,1.760147757
100,2022,2022-April,,0.525478687,26.15410208,49.77,0.14,0.67,0.25,0.63,4/8/2022,12:39:00,-17.53432151,-149.9101318,541.16,590.83,616.13,605.45,8090.64,Vai'anae/Atiha,SW,Mid lagoon,Hauru,0.00619654931059197,0.031117061282922,0.00450877919719415,0.00838986417868625,0.0282127434875821,0,0.537407888991615,0.303827231662795,0.964868542165365,2.1692950509219
101,2021,2021-May,,0.68,28.8,42.41,0.17,0.75,0.15,0.01,5/19/2021,12:04:00,-17.53755852,-149.9121106,150.28,894.05,363.32,495.33,8013.48,Vai'anae/Atiha,SW,Reef crest,Hauru,0.010354445,0.018955499,0.007429432,0.013483836,0.029124385,0.030699957,1.814921579,0.439392867,0.78498084,1.483087529
101,2022,2022-April,,0.586564358,28.28821387,48.23,0.13,0.51,0.17,1.14,4/8/2022,13:17:00,-17.53755852,-149.9121106,150.28,894.05,363.32,495.33,8013.48,Vai'anae/Atiha,SW,Reef crest,Hauru,0.00870709917817407,0.0297892285039597,0.00562928007906805,0.017172524934724,0.0254932813857861,0,0.327807360913204,0.627765841505386,0.691959671271338,2.75405324953947
102,2021,2021-May,,0.6,29.32,49.02,0.17,0.72,0.17,0,5/19/2021,11:21:00,-17.5292844,-149.9181631,189.13,930.36,1474.65,1340.31,8024.01,Papeto'ai,SW,Reef crest,Hauru,0.008155724,0.021588299,0.007022732,0.009681634,0.022359213,0.01941066,1.378613498,0.444432683,0.840620157,1.738500516
102,2022,2022-April,,0.534252993,29.58702595,55.38,0.15,0.66,0.37,1.31,4/9/2022,11:50:00,-17.5292844,-149.9181631,189.13,930.36,1474.65,1340.31,8024.01,Papeto'ai,SW,Reef crest,Hauru,0.00566374066540506,0.0189567228295629,0.00535403647116503,0.00725727044681056,0.0168069157087021,0.000591715207821721,0.73774796053219,1.00581865804347,1.02784454387837,1.77551772470923
103,2021,2021-May,,0.69,27.91,40.36,0.18,0.77,0.38,0.17,5/19/2021,10:56:00,-17.52734936,-149.9140272,650.85,461.14,1474.08,1052.22,7807.65,Papeto'ai,SW,Mid lagoon,Hauru,0.010790797,0.017499401,0.009122519,0.014116664,0.028678669,0.010093701,1.547452438,0.556458908,0.856289056,1.844989488
103,2022,2022-April,,0.628037837,26.84529714,42.74,0.17,0.69,0.46,1.63,4/9/2022,11:18:00,-17.52734936,-149.9140272,650.85,461.14,1474.08,1052.22,7807.65,Papeto'ai,SW,Mid lagoon,Hauru,0.0206106706597691,0.0307832214302986,0.0189279472815428,0.0269913006586357,0.0665452120574433,0.0159518274790711,0.701261029282297,0.882361414430496,1.04065404408,2.14501280734278
104,2021,2021-May,,0.59,27.73,47.1,0.18,1,0.47,0.21,5/19/2021,10:22:00,-17.52568094,-149.9107429,1045.09,93.08,1571.45,921.86,7695.22,Papeto'ai,SW,Fringing reef,Hauru,0.032009889,0.057889234,0.025843877,0.032462215,0.061021834,0.070140657,1.256089215,0.664550186,0.617394937,1.563777668
104,2022,2022-April,,0.607598843,28.3469204,46.65,0.09,0.85,0.75,1.55,4/9/2022,12:36:00,-17.52568094,-149.9107429,1045.09,93.08,1571.45,921.86,7695.22,Papeto'ai,SW,Fringing reef,Hauru,0.0142869925228217,0.0163220255565271,0.0134750703471932,0.0177525537310217,0.0158928218070836,0.00569877015010452,0.75904968667388,1.94990742698401,0.857660577959923,1.79292084373967
105,2021,2021-May,,0.59,29.82,50.15,0.15,0.75,0.37,1.16,5/19/2021,10:05:00,-17.52007479,-149.9206248,239.16,851.54,2480.72,723.28,7029.89,Papeto'ai,SW,Reef crest,Hauru,0.01087218,0.05469274,0.009113403,0.014696243,0.038098091,0.025019569,1.61259659,0.421535969,0.833172405,1.487188376
