Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon
3,2019,2019-July,NA,0.6352,NA,NA,NA,NA,NA,NA,NA,NA,-17.59052703,-149.861271,307.22,1164.85,1707.27,290.83,1164.85,Vai'anae/Atiha,SW,Reef crest,Vaianae
4,2019,2019-July,NA,0.6307,NA,NA,NA,NA,NA,NA,NA,NA,-17.58473849,-149.8584346,968.86,664.71,1788.31,203.81,664.71,Vai'anae/Atiha,SW,Fringing reef,Vaianae
8,2019,2019-July,NA,0.5774,NA,NA,NA,NA,NA,NA,NA,NA,-17.58234638,-149.8545238,1399.18,211.44,1770.73,10.02,211.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae
101,2019,2019-July,NA,0.5735,NA,NA,NA,NA,NA,NA,NA,NA,-17.53755852,-149.9121106,150.28,894.05,363.32,495.33,8013.48,Vai'anae/Atiha,SW,Reef crest,Hauru
102,2019,2019-July,NA,0.5817,NA,NA,NA,NA,NA,NA,NA,NA,-17.5292844,-149.9181631,189.13,930.36,1474.65,1340.31,8024.01,Papeto'ai,SW,Reef crest,Hauru
22,2019,2019-July,NA,0.5753,NA,NA,NA,NA,NA,NA,NA,NA,-17.60326945,-149.810896,238.14,1246.02,3451.57,865.13,1246.02,Ma'atea,SW,Reef crest,Maatea
27,2019,2019-July,NA,0.4557,NA,NA,NA,NA,NA,NA,NA,NA,-17.59423829,-149.7964097,184.21,996.38,2225.84,450.33,996.38,Ma'atea,SE,Reef crest,Maatea
93,2019,2019-July,NA,0.5933,NA,NA,NA,NA,NA,NA,NA,NA,-17.5463777,-149.8911702,970.47,75.3,1581.11,586.73,5717.97,Vai'anae/Atiha,SW,Fringing reef,Haapiti
31,2019,2019-July,NA,0.6354,NA,NA,NA,NA,NA,NA,NA,NA,-17.59795985,-149.8038875,661.3,783.44,2988.97,212.1,783.44,Ma'atea,SW,Mid lagoon,Maatea
33,2019,2019-July,NA,0.6058,NA,NA,NA,NA,NA,NA,NA,NA,-17.58718274,-149.7909091,146.28,1040.07,1288.52,426.5,1040.07,Ma'atea,SE,Reef crest,Maatea
134,2019,2019-July,NA,0.6351,NA,NA,NA,NA,NA,NA,NA,NA,-17.48732954,-149.8870074,434.55,409.14,792.36,489.87,1132.5,Papeto'ai,N,Fringing reef,Papetoai
35,2019,2019-July,NA,0.6313,NA,NA,NA,NA,NA,NA,NA,NA,-17.58383224,-149.7985487,1040.17,157.41,1436.85,60.1,157.41,Ma'atea,SE,Fringing reef,Maatea
37,2019,2019-July,NA,0.6257,NA,NA,NA,NA,NA,NA,NA,NA,-17.57349375,-149.7942877,855.19,245.76,723.21,10.42,1146.81,Ma'atea,SE,Fringing reef,Maatea
43,2019,2019-July,NA,0.4649,NA,NA,NA,NA,NA,NA,NA,NA,-17.56248479,-149.7830339,142.29,725.56,616.58,321.63,966.93,Afareaitu,SE,Reef crest,Haumi
46,2019,2019-July,NA,0.6757,NA,NA,NA,NA,NA,NA,NA,NA,-17.55798848,-149.7809429,270.05,828.24,81.8,20.75,889.08,Afareaitu,SE,Reef pass,Haumi
47,2019,2019-July,NA,0.5803,NA,NA,NA,NA,NA,NA,NA,NA,-17.59313297,-149.8546619,185.33,905.3,841.61,182.05,905.3,Vai'anae/Atiha,SW,Reef crest,Vaianae
50,2019,2019-July,NA,0.5768,NA,NA,NA,NA,NA,NA,NA,NA,-17.60194159,-149.8021502,211.9,1257.27,3234.36,669.18,1257.27,Ma'atea,SW,Reef crest,Maatea
60,2019,2019-July,NA,0.6248,NA,NA,NA,NA,NA,NA,NA,NA,-17.55227462,-149.7773983,328.61,700.53,184.94,32.56,844.67,Afareaitu,SE,Reef pass,Farehau
63,2019,2019-July,NA,0.5221,NA,NA,NA,NA,NA,NA,NA,NA,-17.53573436,-149.7629378,161.5,1077.42,1210.08,801.16,1931.53,Vai'are,SE,Reef crest,Farehau
65,2019,2019-July,NA,0.5765,NA,NA,NA,NA,NA,NA,NA,NA,-17.52484376,-149.7649524,318.12,1139.97,114.17,34.6,1265.84,Vai'are,SE,Reef pass,Farehau
66,2019,2019-July,NA,0.5972,NA,NA,NA,NA,NA,NA,NA,NA,-17.52840162,-149.773503,1146.76,120.82,1093.39,22.11,586.52,Vai'are,SE,Fringing reef,Farehau
67,2019,2019-July,NA,0.6816,NA,NA,NA,NA,NA,NA,NA,NA,-17.5226684,-149.7793687,1748.73,119.77,1603.81,11.56,119.77,Vai'are,SE,Bay,Farehau
68,2019,2019-July,NA,0.7531,NA,NA,NA,NA,NA,NA,NA,NA,-17.52006574,-149.7738316,1147.06,100.21,1043.91,17.66,201.15,Vai'are,SE,Fringing reef,Teavaro
72,2019,2019-July,NA,0.6541,NA,NA,NA,NA,NA,NA,NA,NA,-17.52172509,-149.7643641,167.57,888.8,44.55,43.43,1245.34,Vai'are,SE,Reef pass,Teavaro
73,2019,2019-July,NA,0.5389,NA,NA,NA,NA,NA,NA,NA,NA,-17.51638885,-149.7642064,158.59,564.67,628.61,147.29,1304,Vai'are,SE,Reef crest,Teavaro
74,2019,2019-July,NA,0.6604,NA,NA,NA,NA,NA,NA,NA,NA,-17.50532775,-149.7609331,111.74,538.62,1883.09,405.67,2312.16,Vai'are,SE,Reef crest,Teavaro
75,2019,2019-July,NA,0.6619,NA,NA,NA,NA,NA,NA,NA,NA,-17.50326782,-149.7645343,565.09,101.47,2081.07,519.86,2316.62,Vai'are,SE,Fringing reef,Teavaro
76,2019,2019-July,NA,0.5428,NA,NA,NA,NA,NA,NA,NA,NA,-17.50094125,-149.7627215,525.28,158.19,2348.37,802.45,2626.16,Vai'are,SE,Fringing reef,Teavaro
77,2019,2019-July,NA,0.5663,NA,NA,NA,NA,NA,NA,NA,NA,-17.50258469,-149.7597522,161.37,474.23,2201.84,729.57,2627.04,Vai'are,SE,Reef crest,Teavaro
78,2019,2019-July,NA,0.5756,NA,NA,NA,NA,NA,NA,NA,NA,-17.50024941,-149.7576461,182.54,306.48,2514.66,1067.77,3010.98,Vai'are,SE,Reef crest,Teavaro
83,2019,2019-July,NA,0.4876,NA,NA,NA,NA,NA,NA,NA,NA,-17.56706047,-149.8830503,137.07,1256.09,539.73,564.55,3634.65,Vai'anae/Atiha,SW,Reef crest,Haapiti
86,2019,2019-July,NA,0.6335,NA,NA,NA,NA,NA,NA,NA,NA,-17.55850204,-149.8826298,709.31,538.52,655.79,35.48,4126.17,Vai'anae/Atiha,SW,Mid lagoon,Haapiti
89,2019,2019-July,NA,0.583,NA,NA,NA,NA,NA,NA,NA,NA,-17.55473723,-149.8855922,731.32,561.53,704.63,141.06,4642.18,Vai'anae/Atiha,SW,Fringing reef,Haapiti
92,2019,2019-July,NA,0.6626,NA,NA,NA,NA,NA,NA,NA,NA,-17.55032935,-149.897047,217.68,788.94,1408.82,1006.09,5883.97,Vai'anae/Atiha,SW,Reef crest,Haapiti
94,2019,2019-July,NA,0.5153,NA,NA,NA,NA,NA,NA,NA,NA,-17.54780925,-149.8949618,571.79,438.88,1540.19,847.09,5892.22,Vai'anae/Atiha,SW,Mid lagoon,Haapiti
95,2019,2019-July,NA,0.5481,NA,NA,NA,NA,NA,NA,NA,NA,-17.54493568,-149.9022286,184.55,606.85,776.39,716.48,6683.84,Vai'anae/Atiha,SW,Reef crest,Haapiti
98,2019,2019-July,NA,0.631,NA,NA,NA,NA,NA,NA,NA,NA,-17.54181552,-149.8985127,707.67,99.12,1039.13,785.64,6621.96,Vai'anae/Atiha,SW,Fringing reef,Haapiti
106,2019,2019-July,NA,0.6985,NA,NA,NA,NA,NA,NA,NA,NA,-17.51944682,-149.9170567,619.01,476.06,2401.58,371.72,6910.87,Papeto'ai,SW,Mid lagoon,Hauru
108,2019,2019-July,NA,0.597,NA,NA,NA,NA,NA,NA,NA,NA,-17.51272805,-149.9225916,258.82,785.58,3303.05,909.58,6321.8,Papeto'ai,SW,Reef crest,Hauru
111,2019,2019-July,NA,0.554,NA,NA,NA,NA,NA,NA,NA,NA,-17.50318299,-149.9240371,263.63,861.28,3764.12,1683.01,5522.33,Papeto'ai,SW,Reef crest,Hauru
112,2019,2019-July,NA,0.6696,NA,NA,NA,NA,NA,NA,NA,NA,-17.50348139,-149.920637,663.37,500.28,3515.03,1483.32,5315.06,Papeto'ai,SW,Mid lagoon,Hauru
113,2019,2019-July,NA,0.7084,NA,NA,NA,NA,NA,NA,NA,NA,-17.50287202,-149.91747,910.78,165.35,3309.62,1444.42,5106.02,Papeto'ai,SW,Fringing reef,Hauru
114,2019,2019-July,NA,0.5596,NA,NA,NA,NA,NA,NA,NA,NA,-17.4954558,-149.9235728,232.78,958.34,3218.99,2430.03,5024.24,Papeto'ai,SW,Reef crest,Hauru
118,2019,2019-July,NA,0.617,NA,NA,NA,NA,NA,NA,NA,NA,-17.48914783,-149.9067514,571.25,164.06,1301.02,1001.98,3141.51,Papeto'ai,N,Fringing reef,Hauru
119,2019,2019-July,NA,0.6351,NA,NA,NA,NA,NA,NA,NA,NA,-17.48591677,-149.9077934,208.64,515.85,1318.34,1117.25,3301.52,Papeto'ai,N,Reef crest,Hauru
120,2019,2019-July,NA,0.5413,NA,NA,NA,NA,NA,NA,NA,NA,-17.48790848,-149.9022525,462.37,334.59,809.34,513.05,2684.16,Papeto'ai,N,Mid lagoon,Hauru
122,2019,2019-July,NA,0.5785,NA,NA,NA,NA,NA,NA,NA,NA,-17.48485495,-149.8962351,162.06,576.72,88.94,274.81,2147.15,Papeto'ai,N,Reef pass,Hauru
123,2019,2019-July,NA,0.4627,NA,NA,NA,NA,NA,NA,NA,NA,-17.48842556,-149.8921487,589.92,246.37,498.76,204.62,1620.02,Papeto'ai,N,Fringing reef,Papetoai
128,2019,2019-July,NA,0.7017,NA,NA,NA,NA,NA,NA,NA,NA,-17.48683493,-149.8765044,467.62,505.09,1302.48,25.82,505.09,Papeto'ai,N,Fringing reef,Papetoai
130,2019,2019-July,NA,0.542,NA,NA,NA,NA,NA,NA,NA,NA,-17.48467089,-149.8742172,178.36,785.64,1132.02,181.12,785.64,Papeto'ai,N,Reef crest,Papetoai
132,2019,2019-July,NA,0.6467,NA,NA,NA,NA,NA,NA,NA,NA,-17.48744111,-149.8709693,312.65,471.46,718.44,75.03,471.46,Papeto'ai,N,Reef crest,Papetoai
133,2019,2019-July,NA,0.5757,NA,NA,NA,NA,NA,NA,NA,NA,-17.49028584,-149.8868992,754.27,111.65,983.86,393.95,1035.51,Papeto'ai,N,Fringing reef,Papetoai
140,2019,2019-July,NA,0.4816,NA,NA,NA,NA,NA,NA,NA,NA,-17.49716361,-149.8626436,1201.16,80.17,920.07,10.8,438.05,Papeto'ai,N,Fringing reef,Papetoai
146,2019,2019-July,NA,0.6951,NA,NA,NA,NA,NA,NA,NA,NA,-17.48545652,-149.8469882,665.63,53.17,1288.2,888.26,2344.91,Papeto'ai,N,Fringing reef,Pihaena
147,2019,2019-July,NA,0.5795,NA,NA,NA,NA,NA,NA,NA,NA,-17.48168911,-149.8498651,168.67,571.13,1171.2,1163.13,2323.79,Papeto'ai,N,Reef crest,Pihaena
148,2019,2019-July,NA,0.6345,NA,NA,NA,NA,NA,NA,NA,NA,-17.48386731,-149.8490207,423.18,334.91,1131.15,951.56,2249.28,Papeto'ai,N,Mid lagoon,Pihaena
149,2019,2019-July,NA,0.6818,NA,NA,NA,NA,NA,NA,NA,NA,-17.48650493,-149.8520296,498.75,399.49,739.91,596.71,1823.91,Papeto'ai,N,Mid lagoon,Pihaena
131,2019,2019-July,NA,0.701,NA,NA,NA,NA,NA,NA,NA,NA,-17.48809573,-149.8667564,194.81,590.75,292.46,125.36,590.75,Papeto'ai,N,Reef pass,Papetoai
152,2019,2019-July,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,-17.48009529,-149.8422762,339.71,516.16,1575.44,1210.56,3078.71,Papeto'ai,N,Mid lagoon,Pihaena
161,2019,2019-July,NA,0.6151,NA,NA,NA,NA,NA,NA,NA,NA,-17.47370895,-149.7768527,228.29,87.43,402.08,362.85,2167.13,Maharepa,N,Fringing reef,Maharepa
