Site,Jan2016,May2016,July2016,July2019,Aug2020,May2021,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon,UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample.x,run_name,project,run_order,sample.y,group,Samplepath,Blank1,Blank2,abs,Sample_ID.x,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Notes,Sample_ID.y,Date,Weight_ug,Percent_C,Percent_H,Percent_N,C_to_N_ratio
1,Yes,Yes,Yes,,,Yes,-17.58796058,-149.850116,843.22,195.02,1000.33,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,1_run1_1,0.0349362883462705,0.045490814989807,0.0335417232408751,0.0445729611052868,0.177337280311864,0.0262857169903694,0.015256271260677,0.0268668391849924,0.0116157881942849,0.0333225788495619,0.111593684491972,1.03769088241607,0.70733510999192,2.01228545873824,0.752512788227048,6.56624099319638,0.135453842134031,18.5562862808167,Group001Sample0001,aroundtheisland_run1,ati,1,aroundtheisland_run1/Group001Sample0001,Group001,aroundtheisland_run1/Group001Sample0001SEM.dat,aroundtheisland_run1/Group001Sample0001BEM.dat,aroundtheisland_run1/Group002Sample0001BEM.dat,aroundtheisland_run1/Group001Sample0001ABS.dat,1,0.17,0.69,0.66,0.56,"",1,4/12/2022,2206,26.4148936,3.51650559,0.645019185,40.95
10,Yes,Yes,Yes,,Yes,Yes,-17.5752091,-149.8700014,628.82,586.27,908.48,193.92,1988.96,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,10_run2_3,0.00800205856325715,0.0239367797854169,0.00674518500281491,0.0117633491627788,0,0.0102198521384879,0.00431594083056945,0.00543331289460761,0.0029556554347935,0.00772080902669625,0,0.677251100980205,2.21339888191062,2.0785438359745,0.573406851184679,0.388645976106433,0.0397868887667313,2.30379027570707,Group001Sample0003,aroundtheisland_run2,ati,3,aroundtheisland_run2/Group001Sample0003,Group001,aroundtheisland_run2/Group001Sample0003SEM.dat,aroundtheisland_run2/Group001Sample0001BEM.dat,aroundtheisland_run2/Group002Sample0001BEM.dat,aroundtheisland_run2/Group001Sample0003ABS.dat,10,0.14,0.68,0.64,0.56,"",10,4/12/2022,2595,29.59545471,4.134722716,0.587847615,50.35
100,Yes,Yes,Yes,,Yes,Yes,-17.53432151,-149.9101318,541.16,590.83,616.13,605.45,8090.64,Vai'anae/Atiha,SW,Mid lagoon,Hauru,100_run3_26,0.00619654931059197,0.031117061282922,0.00450877919719415,0.00838986417868625,0.0282127434875821,0.0152066670910746,0.00227694495289648,0.00402045293918991,0.00195447347593486,0.00670398797257191,0,0.964868542165365,0.303827231662795,2.1692950509219,0.537407888991615,1.74622481944291,0.170058662857541,5.26242118619388,Group004Sample0005,aroundtheisland_run3,ati,26,aroundtheisland_run3/Group004Sample0005,Group004,aroundtheisland_run3/Group004Sample0005SEM.dat,aroundtheisland_run3/Group004Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group004Sample0005ABS.dat,100,0.14,0.67,0.25,0.63,"",100,4/8/2022,2691,26.15410208,3.707114235,0.525478687,49.77
101,Yes,Yes,Yes,Yes,Yes,Yes,-17.53755852,-149.9121106,150.28,894.05,363.32,495.33,8013.48,Vai'anae/Atiha,SW,Reef crest,Hauru,101_run3_27,0.00870709917817407,0.0297892285039597,0.00562928007906805,0.017172524934724,0.0254932813857861,0.0134288517899684,0.00281563981267278,0.00466825989798296,0.00203954823600767,0.00720780755977128,0,0.691959671271338,0.627765841505386,2.75405324953947,0.327807360913204,1.45727844261904,0.111790968746867,5.11726328982017,Group004Sample0006,aroundtheisland_run3,ati,27,aroundtheisland_run3/Group004Sample0006,Group004,aroundtheisland_run3/Group004Sample0006SEM.dat,aroundtheisland_run3/Group004Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group004Sample0006ABS.dat,101,0.13,0.51,0.17,1.14,"",101,4/8/2022,2079,28.28821387,4.130854034,0.586564358,48.23
102,Yes,Yes,Yes,Yes,Yes,Yes,-17.5292844,-149.9181631,189.13,930.36,1474.65,1340.31,8024.01,Papeto'ai,SW,Reef crest,Hauru,102_run3_28,0.00566374066540506,0.0189567228295629,0.00535403647116503,0.00725727044681056,0.0168069157087021,0.00267103010302616,0.0032274560033314,0.00458254219103912,0.00236174278254371,0.00704260724351809,0.000591715207821721,1.02784454387837,1.00581865804347,1.77551772470923,0.73774796053219,0.950330642931535,0.107176148800745,3.19746786103282,Group004Sample0007,aroundtheisland_run3,ati,28,aroundtheisland_run3/Group004Sample0007,Group004,aroundtheisland_run3/Group004Sample0007SEM.dat,aroundtheisland_run3/Group004Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group004Sample0007ABS.dat,102,0.15,0.66,0.37,1.31,"",102,4/9/2022,2234,29.58702595,4.347029564,0.534252993,55.38
103,Yes,Yes,Yes,,Yes,Yes,-17.52734936,-149.9140272,650.85,461.14,1474.08,1052.22,7807.65,Papeto'ai,SW,Mid lagoon,Hauru,103_run3_29,0.0206106706597691,0.0307832214302986,0.0189279472815428,0.0269913006586357,0.0665452120574433,0.00693257092446299,0.00891072093755027,0.0157910715886318,0.00632312927121379,0.0176169611529747,0.0159518274790711,1.04065404408,0.882361414430496,2.14501280734278,0.701261029282297,2.96725844391999,0.11032975050112,9.47749120862528,Group005Sample0001,aroundtheisland_run3,ati,29,aroundtheisland_run3/Group005Sample0001,Group005,aroundtheisland_run3/Group005Sample0001SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0001ABS.dat,103,0.17,0.69,0.46,1.63,"",103,4/9/2022,2706,26.84529714,3.918397172,0.628037837,42.74
104,Yes,Yes,Yes,,Yes,Yes,-17.52568094,-149.9107429,1045.09,93.08,1571.45,921.86,7695.22,Papeto'ai,SW,Fringing reef,Hauru,104_run3_30,0.0142869925228217,0.0163220255565271,0.0134750703471932,0.0177525537310217,0.0158928218070836,0.0179970079159256,0.00750583786427215,0.0114567049646229,0.00510275656165817,0.0159944315074112,0.00569877015010452,0.857660577959923,1.94990742698401,1.79292084373967,0.75904968667388,1.02521041807472,0.0565084791452656,4.92655429481801,Group005Sample0002,aroundtheisland_run3,ati,30,aroundtheisland_run3/Group005Sample0002,Group005,aroundtheisland_run3/Group005Sample0002SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0002ABS.dat,104,0.09,0.85,0.75,1.55,"",104,4/9/2022,2370,28.3469204,4.141813407,0.607598843,46.65
105,Yes,Yes,Yes,,Yes,Yes,-17.52007479,-149.9206248,239.16,851.54,2480.72,723.28,7029.89,Papeto'ai,SW,Reef crest,Hauru,105_run3_31,0.00990429719808575,0.023294136559287,0.0100619625134437,0.0128556840765865,0.0286231155680079,0.0127935879557309,0.00497019325817852,0.00837458483716799,0.00348056362862606,0.0109206394852779,0.00306841610864178,1.0797954876229,1.10599837938465,1.78826841249804,0.782685888475517,1.45141202493585,0.101627206738647,4.83940982887181,Group005Sample0003,aroundtheisland_run3,ati,31,aroundtheisland_run3/Group005Sample0003,Group005,aroundtheisland_run3/Group005Sample0003SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0003ABS.dat,105,0.16,0.68,0.61,1.39,"",105,4/9/2022,2614,29.36637191,4.417884592,0.585623815,50.15
106,Yes,Yes,Yes,Yes,Yes,Yes,-17.51944682,-149.9170567,619.01,476.06,2401.58,371.72,6910.87,Papeto'ai,SW,Mid lagoon,Hauru,106_run3_32,0.00943054585157429,0.0309845370724602,0.00764075643059153,0.012482866069774,0.0348152432674256,0.0196284188399478,0.0041433138868505,0.00655114824837022,0.00331918327291034,0.00973393686028616,0.0214396271858808,0.873706077161658,0.580658508954053,2.3794794558264,0.612099528095782,1.87770471499649,0.131158038209182,6.04110765244644,Group005Sample0004,aroundtheisland_run3,ati,32,aroundtheisland_run3/Group005Sample0004,Group005,aroundtheisland_run3/Group005Sample0004SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0004ABS.dat,106,0.19,0.82,0.53,1.54,"",106,4/9/2022,2876,26.94852484,3.957561746,0.599936196,44.92
107,Yes,Yes,Yes,,Yes,Yes,-17.51885715,-149.9132726,1021.92,82.89,2359.12,110.06,6877.48,Papeto'ai,SW,Fringing reef,Hauru,107_run3_33,0.00765303846905883,0.021024925359456,0.00574150158458867,0.0101742455113815,0.095960161208428,0.0184521307479472,0.00346340774062216,0.005317661631044,0.00197503336424729,0.00950164277448353,0.0734345973104221,1.42520322800128,0.377657058643856,1.94804131350236,0.564317184813937,3.33000992912928,0.208649091933735,8.97858848799154,Group005Sample0005,aroundtheisland_run3,ati,33,aroundtheisland_run3/Group005Sample0005,Group005,aroundtheisland_run3/Group005Sample0005SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0005ABS.dat,107,0.17,0.88,0.6,1.25,"",107,4/9/2022,2662,26.56145375,3.858143224,0.6725326,39.49
