Site,Jan2016,May2016,July2016,July2019,Aug2020,May2021,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon,UniqueID,JP5_normalized,Diesel_Chen,sample.x,run_name,project,run_order,sample.y,group,Samplepath,Blank1,Blank2,abs,Sample_ID.x,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Notes,Sample_ID.y,Date,Weight_ug,Percent_C,Percent_H,Percent_N,C_to_N_ratio,index_name,index_value
1,Yes,Yes,Yes,,,Yes,-17.58796058,-149.850116,843.22,195.02,1000.33,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,1_run1_1,0.135453842134031,18.5562862808167,Group001Sample0001,aroundtheisland_run1,ati,1,aroundtheisland_run1/Group001Sample0001,Group001,aroundtheisland_run1/Group001Sample0001SEM.dat,aroundtheisland_run1/Group001Sample0001BEM.dat,aroundtheisland_run1/Group002Sample0001BEM.dat,aroundtheisland_run1/Group001Sample0001ABS.dat,1,0.17,0.69,0.66,0.56,"",1,4/12/2022,2206,26.4148936,3.51650559,0.645019185,40.95,CobleA,0.0349362883462705
10,Yes,Yes,Yes,,Yes,Yes,-17.5752091,-149.8700014,628.82,586.27,908.48,193.92,1988.96,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,10_run2_3,0.0397868887667313,2.30379027570707,Group001Sample0003,aroundtheisland_run2,ati,3,aroundtheisland_run2/Group001Sample0003,Group001,aroundtheisland_run2/Group001Sample0003SEM.dat,aroundtheisland_run2/Group001Sample0001BEM.dat,aroundtheisland_run2/Group002Sample0001BEM.dat,aroundtheisland_run2/Group001Sample0003ABS.dat,10,0.14,0.68,0.64,0.56,"",10,4/12/2022,2595,29.59545471,4.134722716,0.587847615,50.35,CobleA,0.00800205856325715
100,Yes,Yes,Yes,,Yes,Yes,-17.53432151,-149.9101318,541.16,590.83,616.13,605.45,8090.64,Vai'anae/Atiha,SW,Mid lagoon,Hauru,100_run3_26,0.170058662857541,5.26242118619388,Group004Sample0005,aroundtheisland_run3,ati,26,aroundtheisland_run3/Group004Sample0005,Group004,aroundtheisland_run3/Group004Sample0005SEM.dat,aroundtheisland_run3/Group004Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group004Sample0005ABS.dat,100,0.14,0.67,0.25,0.63,"",100,4/8/2022,2691,26.15410208,3.707114235,0.525478687,49.77,CobleA,0.00619654931059197
101,Yes,Yes,Yes,Yes,Yes,Yes,-17.53755852,-149.9121106,150.28,894.05,363.32,495.33,8013.48,Vai'anae/Atiha,SW,Reef crest,Hauru,101_run3_27,0.111790968746867,5.11726328982017,Group004Sample0006,aroundtheisland_run3,ati,27,aroundtheisland_run3/Group004Sample0006,Group004,aroundtheisland_run3/Group004Sample0006SEM.dat,aroundtheisland_run3/Group004Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group004Sample0006ABS.dat,101,0.13,0.51,0.17,1.14,"",101,4/8/2022,2079,28.28821387,4.130854034,0.586564358,48.23,CobleA,0.00870709917817407
102,Yes,Yes,Yes,Yes,Yes,Yes,-17.5292844,-149.9181631,189.13,930.36,1474.65,1340.31,8024.01,Papeto'ai,SW,Reef crest,Hauru,102_run3_28,0.107176148800745,3.19746786103282,Group004Sample0007,aroundtheisland_run3,ati,28,aroundtheisland_run3/Group004Sample0007,Group004,aroundtheisland_run3/Group004Sample0007SEM.dat,aroundtheisland_run3/Group004Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group004Sample0007ABS.dat,102,0.15,0.66,0.37,1.31,"",102,4/9/2022,2234,29.58702595,4.347029564,0.534252993,55.38,CobleA,0.00566374066540506
103,Yes,Yes,Yes,,Yes,Yes,-17.52734936,-149.9140272,650.85,461.14,1474.08,1052.22,7807.65,Papeto'ai,SW,Mid lagoon,Hauru,103_run3_29,0.11032975050112,9.47749120862528,Group005Sample0001,aroundtheisland_run3,ati,29,aroundtheisland_run3/Group005Sample0001,Group005,aroundtheisland_run3/Group005Sample0001SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0001ABS.dat,103,0.17,0.69,0.46,1.63,"",103,4/9/2022,2706,26.84529714,3.918397172,0.628037837,42.74,CobleA,0.0206106706597691
104,Yes,Yes,Yes,,Yes,Yes,-17.52568094,-149.9107429,1045.09,93.08,1571.45,921.86,7695.22,Papeto'ai,SW,Fringing reef,Hauru,104_run3_30,0.0565084791452656,4.92655429481801,Group005Sample0002,aroundtheisland_run3,ati,30,aroundtheisland_run3/Group005Sample0002,Group005,aroundtheisland_run3/Group005Sample0002SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0002ABS.dat,104,0.09,0.85,0.75,1.55,"",104,4/9/2022,2370,28.3469204,4.141813407,0.607598843,46.65,CobleA,0.0142869925228217
105,Yes,Yes,Yes,,Yes,Yes,-17.52007479,-149.9206248,239.16,851.54,2480.72,723.28,7029.89,Papeto'ai,SW,Reef crest,Hauru,105_run3_31,0.101627206738647,4.83940982887181,Group005Sample0003,aroundtheisland_run3,ati,31,aroundtheisland_run3/Group005Sample0003,Group005,aroundtheisland_run3/Group005Sample0003SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0003ABS.dat,105,0.16,0.68,0.61,1.39,"",105,4/9/2022,2614,29.36637191,4.417884592,0.585623815,50.15,CobleA,0.00990429719808575
106,Yes,Yes,Yes,Yes,Yes,Yes,-17.51944682,-149.9170567,619.01,476.06,2401.58,371.72,6910.87,Papeto'ai,SW,Mid lagoon,Hauru,106_run3_32,0.131158038209182,6.04110765244644,Group005Sample0004,aroundtheisland_run3,ati,32,aroundtheisland_run3/Group005Sample0004,Group005,aroundtheisland_run3/Group005Sample0004SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0004ABS.dat,106,0.19,0.82,0.53,1.54,"",106,4/9/2022,2876,26.94852484,3.957561746,0.599936196,44.92,CobleA,0.00943054585157429
107,Yes,Yes,Yes,,Yes,Yes,-17.51885715,-149.9132726,1021.92,82.89,2359.12,110.06,6877.48,Papeto'ai,SW,Fringing reef,Hauru,107_run3_33,0.208649091933735,8.97858848799154,Group005Sample0005,aroundtheisland_run3,ati,33,aroundtheisland_run3/Group005Sample0005,Group005,aroundtheisland_run3/Group005Sample0005SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0005ABS.dat,107,0.17,0.88,0.6,1.25,"",107,4/9/2022,2662,26.56145375,3.858143224,0.6725326,39.49,CobleA,0.00765303846905883
