Unique_id,Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distance_to_crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon,Microbial_PCoA_Axis1,Microbial_Species_Richness,Microbial_Evenness,Ultra.Violet.Humic.like,Tyrosine.like,Visible.Humic.like,Marine.Humic.like,Tryptophan.like,Lignin.like,M.C,HIX,BIX,FI
id_1,1,2016,2016-July,11.81,0.45,NA,NA,NA,NA,NA,NA,NA,NA,-17.58796058,-149.850116,843.22,195.02,1000.33,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_2,1,2016,2016-May,3.77,0.68,NA,NA,NA,NA,NA,NA,NA,NA,-17.58796058,-149.850116,843.22,195.02,1000.33,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_3,1,2016,2016-January,2.38,0.43,NA,NA,NA,NA,NA,NA,NA,NA,-17.58796058,-149.850116,843.22,195.02,1000.33,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_4,2,2016,2016-July,7.96,0.43,NA,NA,NA,NA,NA,NA,NA,NA,-17.59042955,-149.8513141,553.98,506.75,809.65,250,506.75,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,,,,,,,,,,,,,
id_5,2,2016,2016-May,3.73,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.59042955,-149.8513141,553.98,506.75,809.65,250,506.75,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,,,,,,,,,,,,,
id_6,2,2016,2016-January,2.38,0.34,NA,NA,NA,NA,NA,NA,NA,NA,-17.59042955,-149.8513141,553.98,506.75,809.65,250,506.75,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,,,,,,,,,,,,,
id_7,3,2016,2016-July,6.65,0.52,NA,NA,NA,NA,NA,NA,NA,NA,-17.59052703,-149.861271,307.22,1164.85,1707.27,290.83,1164.85,Vai'anae/Atiha,SW,Reef crest,Vaianae,,,,,,,,,,,,,
id_8,3,2016,2016-May,3.71,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.59052703,-149.861271,307.22,1164.85,1707.27,290.83,1164.85,Vai'anae/Atiha,SW,Reef crest,Vaianae,,,,,,,,,,,,,
id_9,3,2016,2016-January,3.36,0.45,NA,NA,NA,NA,NA,NA,NA,NA,-17.59052703,-149.861271,307.22,1164.85,1707.27,290.83,1164.85,Vai'anae/Atiha,SW,Reef crest,Vaianae,,,,,,,,,,,,,
id_10,4,2016,2016-July,4.69,0.54,NA,NA,NA,NA,NA,NA,NA,NA,-17.58473849,-149.8584346,968.86,664.71,1788.31,203.81,664.71,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_11,4,2016,2016-May,2.99,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.58473849,-149.8584346,968.86,664.71,1788.31,203.81,664.71,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_12,4,2016,2016-January,2.66,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.58473849,-149.8584346,968.86,664.71,1788.31,203.81,664.71,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_13,5,2016,2016-July,9.27,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.58509698,-149.8672942,205.62,1171.22,1732.15,450.97,1610.76,Vai'anae/Atiha,SW,Reef crest,Vaianae,,,,,,,,,,,,,
id_14,5,2016,2016-January,4.17,0.5,NA,NA,NA,NA,NA,NA,NA,NA,-17.58509698,-149.8672942,205.62,1171.22,1732.15,450.97,1610.76,Vai'anae/Atiha,SW,Reef crest,Vaianae,,,,,,,,,,,,,
id_15,6,2016,2016-July,5.97,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.57797027,-149.8731899,200.52,1057.87,735.57,595.65,2279.93,Vai'anae/Atiha,SW,Reef crest,Vaianae,,,,,,,,,,,,,
id_16,6,2016,2016-May,3.01,0.57,NA,NA,NA,NA,NA,NA,NA,NA,-17.57797027,-149.8731899,200.52,1057.87,735.57,595.65,2279.93,Vai'anae/Atiha,SW,Reef crest,Vaianae,,,,,,,,,,,,,
id_17,6,2016,2016-January,3.73,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.57797027,-149.8731899,200.52,1057.87,735.57,595.65,2279.93,Vai'anae/Atiha,SW,Reef crest,Vaianae,,,,,,,,,,,,,
id_18,7,2016,2016-July,4.04,0.5,NA,NA,NA,NA,NA,NA,NA,NA,-17.57851023,-149.8622209,1040.23,292.1,1847.12,48.29,1155.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_19,7,2016,2016-May,2.57,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.57851023,-149.8622209,1040.23,292.1,1847.12,48.29,1155.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_20,7,2016,2016-January,1.83,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.57851023,-149.8622209,1040.23,292.1,1847.12,48.29,1155.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_21,8,2016,2016-July,4.51,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.58234638,-149.8545238,1399.18,211.44,1770.73,10.02,211.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_22,8,2016,2016-January,2.88,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.58234638,-149.8545238,1399.18,211.44,1770.73,10.02,211.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_23,9,2016,2016-July,5.45,0.4,NA,NA,NA,NA,NA,NA,NA,NA,-17.57452698,-149.8740018,377.77,859.38,525.73,273.81,2416.43,Vai'anae/Atiha,SW,Reef crest,Vaianae,,,,,,,,,,,,,
id_24,9,2016,2016-May,2.96,0.54,NA,NA,NA,NA,NA,NA,NA,NA,-17.57452698,-149.8740018,377.77,859.38,525.73,273.81,2416.43,Vai'anae/Atiha,SW,Reef crest,Vaianae,,,,,,,,,,,,,
id_25,9,2016,2016-January,3.03,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.57452698,-149.8740018,377.77,859.38,525.73,273.81,2416.43,Vai'anae/Atiha,SW,Reef crest,Vaianae,,,,,,,,,,,,,
id_26,10,2016,2016-July,4.93,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.5752091,-149.8700014,628.82,586.27,908.48,193.92,1988.96,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,,,,,,,,,,,,,
id_27,10,2016,2016-May,3.48,0.51,NA,NA,NA,NA,NA,NA,NA,NA,-17.5752091,-149.8700014,628.82,586.27,908.48,193.92,1988.96,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,,,,,,,,,,,,,
id_28,10,2016,2016-January,3.18,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.5752091,-149.8700014,628.82,586.27,908.48,193.92,1988.96,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,,,,,,,,,,,,,
id_29,11,2016,2016-July,5.78,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.5727299,-149.8661581,1132.18,133.13,1316.85,34.15,1831.95,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_30,11,2016,2016-May,3.75,0.63,NA,NA,NA,NA,NA,NA,NA,NA,-17.5727299,-149.8661581,1132.18,133.13,1316.85,34.15,1831.95,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_31,11,2016,2016-January,3.53,0.48,NA,NA,NA,NA,NA,NA,NA,NA,-17.5727299,-149.8661581,1132.18,133.13,1316.85,34.15,1831.95,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_32,12,2016,2016-July,7.66,0.48,NA,NA,NA,NA,NA,NA,NA,NA,-17.59364896,-149.8482386,309.66,800.92,340.23,162.79,800.92,Vai'anae/Atiha,SW,Reef pass,Vaianae,,,,,,,,,,,,,
id_33,12,2016,2016-May,3.51,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.59364896,-149.8482386,309.66,800.92,340.23,162.79,800.92,Vai'anae/Atiha,SW,Reef pass,Vaianae,,,,,,,,,,,,,
id_34,12,2016,2016-January,3.35,0.43,NA,NA,NA,NA,NA,NA,NA,NA,-17.59364896,-149.8482386,309.66,800.92,340.23,162.79,800.92,Vai'anae/Atiha,SW,Reef pass,Vaianae,,,,,,,,,,,,,
id_35,13,2016,2016-July,5.68,0.48,NA,NA,NA,NA,NA,NA,NA,NA,-17.5676907,-149.8705731,1139.83,186.07,1003.2,55.63,2585.05,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_36,13,2016,2016-May,4.24,0.65,NA,NA,NA,NA,NA,NA,NA,NA,-17.5676907,-149.8705731,1139.83,186.07,1003.2,55.63,2585.05,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_37,13,2016,2016-January,2.1,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.5676907,-149.8705731,1139.83,186.07,1003.2,55.63,2585.05,Vai'anae/Atiha,SW,Fringing reef,Vaianae,,,,,,,,,,,,,
id_38,14,2016,2016-July,4.23,0.48,NA,NA,NA,NA,NA,NA,NA,NA,-17.58281082,-149.8662589,438.97,916.93,1695.09,242.68,1458.68,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,,,,,,,,,,,,,
id_39,14,2016,2016-May,3.52,0.51,NA,NA,NA,NA,NA,NA,NA,NA,-17.58281082,-149.8662589,438.97,916.93,1695.09,242.68,1458.68,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,,,,,,,,,,,,,
id_40,14,2016,2016-January,2.88,0.36,NA,NA,NA,NA,NA,NA,NA,NA,-17.58281082,-149.8662589,438.97,916.93,1695.09,242.68,1458.68,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,,,,,,,,,,,,,
id_41,16,2016,2016-July,5.69,0.69,NA,NA,NA,NA,NA,NA,NA,NA,-17.5869498,-149.8426075,1190.12,149.86,1101.59,315.22,149.86,Vai'anae/Atiha,SW,Bay,Maatea,,,,,,,,,,,,,
id_42,16,2016,2016-May,3.29,0.56,NA,NA,NA,NA,NA,NA,NA,NA,-17.5869498,-149.8426075,1190.12,149.86,1101.59,315.22,149.86,Vai'anae/Atiha,SW,Bay,Maatea,,,,,,,,,,,,,
id_43,16,2016,2016-January,3.52,0.63,NA,NA,NA,NA,NA,NA,NA,NA,-17.5869498,-149.8426075,1190.12,149.86,1101.59,315.22,149.86,Vai'anae/Atiha,SW,Bay,Maatea,,,,,,,,,,,,,
id_44,17,2016,2016-July,6.87,0.32,NA,NA,NA,NA,NA,NA,NA,NA,-17.59328585,-149.8390346,683.48,215.33,607.29,349.81,768.71,Vai'anae/Atiha,SW,Fringing reef,Maatea,,,,,,,,,,,,,
id_45,17,2016,2016-January,1.99,0.39,NA,NA,NA,NA,NA,NA,NA,NA,-17.59328585,-149.8390346,683.48,215.33,607.29,349.81,768.71,Vai'anae/Atiha,SW,Fringing reef,Maatea,,,,,,,,,,,,,
