Site,Year,CobleA,CobleB,CobleC,CobleM,CobleT,Lignin,M_to_C,HIX,BIX,FI
1,2021,0.00992716,0.022415735,0.009133572,0.011128298,0.022016804,0.017116524,1.218394935,0.822242503,0.764862026,1.799810609
2,2021,0.006034924,0.007370588,0.004747831,0.007191637,0.012507304,0.011747751,1.514720409,0.69081697,0.824416867,1.814903123
3,2021,0.006794827,0.021706116,0.005052694,0.009224386,0.025680258,0.010654615,1.825637071,0.405338858,0.918283679,1.784164404
4,2021,0.007052061,0.020212955,0.005404728,0.008656829,0.022148679,0.023460785,1.601714122,0.492455082,0.73854204,1.665299365
5,2021,0.0091091,0.022284994,0.008290935,0.012046041,0.032596516,0.013084508,1.452917141,0.618622114,1.029781439,1.689626063
6,2021,0.005648715,0.006968854,0.004081666,0.007296134,0.017126183,0,1.787538521,0.478285856,0.77111819,1.204958132
7,2021,0.010115907,0.01134186,0.009275078,0.011929275,0.02136666,0.007194491,1.286164418,1.098101122,0.877994599,1.628755192
8,2021,0.007696034,0.003389053,0.005627615,0.008975038,0.014762458,0.012448475,1.594821069,0.544071206,0.701631811,1.635401539
9,2021,0.010502643,0.020077358,0.009242978,0.014852732,0.037136906,0.024465354,1.606920698,0.530576265,0.91595402,1.601756695
10,2021,0.005694548,0,0.003953378,0.007162687,0.011086273,0.007558664,1.811789056,0.414914165,0.410492582,1.856158561
11,2021,0.015909847,0.016987508,0.013026502,0.018080567,0.025355074,0.024931221,1.387983322,0.969554959,0.769531457,1.496675388
13,2021,0.015713354,0.023335802,0.015649104,0.019328792,0.03645152,0.019975474,1.235137308,1.120305724,0.875977013,1.643854131
14,2021,0.008343216,0.006127044,0.005395305,0.008945437,0.018447885,0.015429297,1.658004116,0.243107278,0.46970272,1.976788422
15,2021,0.008591539,0.014150736,0.006841575,0.011011436,0.025000905,0.024771841,1.609488346,0.474898524,0.675906006,1.653799469
16,2021,0.011929513,0.013212894,0.010028945,0.013748147,0.01496707,0.016675971,1.370846866,1.404060228,0.632763815,1.583525152
17,2021,0.009709338,0.021802167,0.007436791,0.0124829,0.030423707,0.010048782,1.678533023,1.047752552,0.626533089,1.534566489
19,2021,0.034887147,0.036884102,0.030225733,0.049372326,0.074547482,0.052428164,1.633453406,1.10481761,1.09797735,1.585789558
20,2021,0.005391887,0.011997628,0.004248081,0.006616546,0.009955421,0,1.557537577,0.324811422,0.565300001,1.688242561
21,2021,0.005708986,0.009166067,0.005021964,0.006954929,0.016540642,0.004153949,1.384902172,0.537479641,0.586953597,1.548411207
22,2021,0.005601525,0.018114234,0.00413473,0.007608903,0.016319236,0.003327047,1.840241736,0.360489212,0.603791795,1.583200143
24,2021,0.007161034,0,0.006965989,0.009021724,0.014424867,0,1.29511026,0.850786319,0.808147146,1.453706026
25,2021,0.006571149,0.010334161,0.005038845,0.008045571,0.015348208,0,1.596709599,0.562704336,0.553362436,1.695325747
26,2021,0.007648033,0.014583811,0.006202138,0.009980178,0.019589699,0.002423966,1.609151245,0.600059522,0.681526541,1.592897626
27,2021,0.007489943,0.034554658,0.005484969,0.009116793,0.026981561,0.030666048,1.662141083,0.385975866,0.529626727,1.78025333
28,2021,0.004509658,0.013893289,0.00379488,0.006077856,0.017042264,0,1.60159381,0.257269156,0.555992567,1.87403518
29,2021,0.006270762,0.019275774,0.004366966,0.010787192,0.019454974,0.011600256,2.470179678,0.397092475,0.663948672,1.38228933
30,2021,0.004853534,0.018971698,0.003670611,0.006345479,0.015239781,0.003780159,1.728725657,0.319256681,0.60135665,2.027286049
31,2021,0.005017723,0.010089727,0.003964822,0.006560992,0.013007462,0.003706137,1.654801204,0.402821248,0.546122499,1.627132021
32,2021,0.006923925,0.038197414,0.005628627,0.008152443,0.021751235,0.014538617,1.448389286,0.408228204,0.829631283,1.839213193
34,2021,0.008375394,0.038763515,0.00671298,0.011352937,0.030742302,0.004228708,1.691191838,0.347828736,0.844461929,1.392768677
35,2021,0.008237549,0.032922503,0.007226221,0.011063578,0.020048972,0.025234216,1.531032368,0.566175198,0.739638146,1.452456897
36,2021,0.014257524,0.032987898,0.011512373,0.015357032,0.031157063,0.015124501,1.333958876,0.52164143,0.646722443,1.537628984
37,2021,0.010060148,0.043451614,0.008131541,0.01196,0.026169799,0.01980029,1.47081583,0.490019852,0.722356876,1.529240787
38,2021,0.010114953,0.035386902,0.008147669,0.011911247,0.030791154,0.018530106,1.461920822,0.401326886,0.75295006,1.585828977
39,2021,0.011488308,0.040119937,0.007850536,0.012715799,0.031765594,0.01753755,1.619736376,0.335682188,0.714534149,1.572719906
40,2021,0.009145139,0.027527572,0.007568288,0.01203312,0.020217454,0.02796825,1.589939531,0.623439281,0.786503376,1.547630833
41,2021,0.009589228,0.045116209,0.007669615,0.011517702,0.035192482,0.021998531,1.501731487,0.362558587,0.828308125,1.498586967
42,2021,0.011253813,0.042004534,0.007624379,0.012265076,0.026529972,0.041145597,1.608665571,0.53774491,0.648150382,1.472551369
43,2021,0.00701749,0.030257456,0.004995189,0.00823871,0.020420519,0.022079449,1.649328888,0.378343809,0.739584711,1.536066141
44,2021,0.008685297,0.034682631,0.006832287,0.010503971,0.023355786,0.031895476,1.537401973,0.542145301,0.629635922,1.410700435
45,2021,0.00856599,0.050330604,0.006999429,0.011578448,0.029226272,0.009161596,1.654198862,0.533741864,0.771875375,1.394655868
46,2021,0.008475899,0.0365272,0.007011716,0.010085532,0.022050893,0.018950185,1.438382879,0.649006618,0.748545433,1.534909579
47,2021,0.008560549,0.026083519,0.007394007,0.009695101,0.020666115,0.028714869,1.311210613,0.671633319,0.668868733,1.875572532
48,2021,0.007436546,0.038570807,0.006109247,0.011249332,0.026828383,0.015104973,1.841361371,0.364863984,0.831257856,1.537547772
50,2021,0.006459024,0.032132503,0.005139094,0.008748758,0.017660692,0.018365904,1.702393202,0.467866485,0.800367918,1.662981815
51,2021,0.008469925,0.031418282,0.007552173,0.010751858,0.018719371,0.033908614,1.423677428,0.53075516,0.703789067,1.816342339
52,2021,0.011265983,0.037654376,0.009486785,0.01414746,0.037819271,0.033146541,1.491280841,0.379858448,0.779498126,1.663878624
53,2021,0.014324056,0.02098804,0.015597957,0.016416548,0.030337636,0.035676937,1.052480627,0.851433775,0.927640938,1.669163294
54,2021,0.010526101,0.02892133,0.009373023,0.012473205,0.023274071,0.036178259,1.330755816,0.634698083,0.684419433,1.718822435
55,2021,0.014388283,0.023720988,0.012896822,0.015849168,0.030828495,0,1.228920417,0.8103557,0.803526284,1.732252899
56,2021,0.007180749,0.042678003,0.005611713,0.009331391,0.022494637,0,1.662841782,0.335130565,0.674161789,1.636603225
57,2021,0.008391329,0.08275572,0.005915268,0.011382768,0.022230959,0.009940399,1.924302873,0.371666033,0.604810026,1.68419793
58,2021,0.00860842,0.03796269,0.00633246,0.013420294,0.019893627,0.012263594,2.119286194,0.43928035,1.196073172,1.91005279
59,2021,0.007914979,0.020532539,0.005502618,0.01017612,0.011248481,0,1.849323437,0.539625719,0.533890752,1.891864762
60,2021,0.009719033,0.050701294,0.007156186,0.012507825,0.025752893,0.018492441,1.747834064,0.472411189,0.652095669,1.932097466
61,2021,0.008315215,0.030773756,0.006212644,0.010127478,0.017224166,0.012998986,1.630139733,0.373460654,0.494966129,1.851866495
62,2021,0.012122313,0.053692823,0.010523345,0.016947608,0.036267218,0.004010442,1.610477227,0.629126502,1.121185601,1.789518789
63,2021,0.00770124,0.033020468,0.006795167,0.01084625,0.030127947,0.020656621,1.596171214,0.28956542,0.796356326,1.981510724
64,2021,0.008633969,0.051988722,0.007074388,0.010036394,0.03134387,0.009693592,1.418694288,0.481172163,0.702367404,1.894514552
65,2021,0.014453152,0.061731542,0.014739838,0.022114146,0.06628072,0.009188559,1.500297805,0.708598737,1.258024176,1.863427069
66,2021,0.013596801,0.037784485,0.012043258,0.0146669,0.043404636,0.037116039,1.217851536,0.644946382,0.759452274,1.679342017
67,2021,0.012516373,0.043649206,0.010649407,0.013857932,0.031355046,0.022127299,1.301286709,0.50726064,0.77291329,1.692360126
68,2021,0.007917701,0.042912454,0.005951949,0.010453943,0.025391742,0.012651935,1.756389806,0.324032323,0.704006281,1.582622808
69,2021,0.013900617,0.045740244,0.01239129,0.017250137,0.040598341,0.005062151,1.392117987,0.577352861,0.834487148,1.646104649
70,2021,0.009218683,0.050547438,0.00767683,0.01041083,0.029555268,0.029608614,1.356136531,0.404840119,0.766634724,1.790659512
71,2021,0.007991127,0.033873682,0.007241545,0.00929587,0.029092251,0.007363911,1.283686015,0.529183015,0.90248648,1.811634809
