"UniqueID","run_name","run_order","sample","group","SEM_file","blank1","blank2","ABS_file"
"8_run2_1","aroundtheisland_run2",1,"Group001Sample0001","Group001","Group001Sample0001SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0001ABS.dat"
"9_run2_2","aroundtheisland_run2",2,"Group001Sample0002","Group001","Group001Sample0002SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0002ABS.dat"
"10_run2_3","aroundtheisland_run2",3,"Group001Sample0003","Group001","Group001Sample0003SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0003ABS.dat"
"11_run2_4","aroundtheisland_run2",4,"Group001Sample0004","Group001","Group001Sample0004SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0004ABS.dat"
"13_run2_5","aroundtheisland_run2",5,"Group001Sample0005","Group001","Group001Sample0005SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0005ABS.dat"
"14_run2_6","aroundtheisland_run2",6,"Group001Sample0006","Group001","Group001Sample0006SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0006ABS.dat"
"15_run2_7","aroundtheisland_run2",7,"Group001Sample0007","Group001","Group001Sample0007SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0007ABS.dat"
"25_run2_8","aroundtheisland_run2",8,"Group002Sample0001","Group002","Group002Sample0001SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0001ABS.dat"
"31_run2_9","aroundtheisland_run2",9,"Group002Sample0002","Group002","Group002Sample0002SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0002ABS.dat"
"47_run2_10","aroundtheisland_run2",10,"Group002Sample0003","Group002","Group002Sample0003SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0003ABS.dat"
"49_run2_11","aroundtheisland_run2",11,"Group002Sample0004","Group002","Group002Sample0004SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0004ABS.dat"
"50_run2_12","aroundtheisland_run2",12,"Group002Sample0005","Group002","Group002Sample0005SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0005ABS.dat"
"68_run2_13","aroundtheisland_run2",13,"Group002Sample0006","Group002","Group002Sample0006SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0006ABS.dat"
"70_run2_14","aroundtheisland_run2",14,"Group002Sample0007","Group002","Group002Sample0007SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0007ABS.dat"
"71_run2_15","aroundtheisland_run2",15,"Group003Sample0001","Group003","Group003Sample0001SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0001ABS.dat"
"milliq_run2_16","aroundtheisland_run2",16,"Group003Sample0002","Group003","Group003Sample0002SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0002ABS.dat"
"milliq_run2_17","aroundtheisland_run2",17,"Group003Sample0003","Group003","Group003Sample0003SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0003ABS.dat"
"milliq_run2_18","aroundtheisland_run2",18,"Group003Sample0004","Group003","Group003Sample0004SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0004ABS.dat"
"milliq_run2_19","aroundtheisland_run2",19,"Group003Sample0005","Group003","Group003Sample0005SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0005ABS.dat"
"milliq_run2_20","aroundtheisland_run2",20,"Group003Sample0006","Group003","Group003Sample0006SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0006ABS.dat"
"milliq_run2_21","aroundtheisland_run2",21,"Group003Sample0007","Group003","Group003Sample0007SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0007ABS.dat"
"71_run2_22","aroundtheisland_run2",22,"Group004Sample0001","Group004","Group004Sample0001SEM.dat","Group004Sample0001BEM.dat","Group001Sample0001BEM.dat","Group004Sample0001ABS.dat"
