UniqueID,run_name,run_order,sample,group,SEM_file,blank1,blank2,ABS_file
fdom_lag_4_22,aroundtheisland_run8,1,Group001Sample0001,Group001,Group001Sample0001SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0001ABS.dat
fdom_apr_2022,aroundtheisland_run8,2,Group001Sample0002,Group001,Group001Sample0002SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0002ABS.dat
fdom_apr_2022,aroundtheisland_run8,3,Group001Sample0003,Group001,Group001Sample0003SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0003ABS.dat
fdom_4_22,aroundtheisland_run8,4,Group001Sample0004,Group001,Group001Sample0004SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0004ABS.dat
fdom_4_22,aroundtheisland_run8,5,Group001Sample0005,Group001,Group001Sample0005SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0005ABS.dat
fdom_apr_2022,aroundtheisland_run8,6,Group001Sample0006,Group001,Group001Sample0006SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0006ABS.dat
fdom_apr_2022,aroundtheisland_run8,7,Group001Sample0007,Group001,Group001Sample0007SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0007ABS.dat
fdom_apr_2022,aroundtheisland_run8,8,Group002Sample0001,Group002,Group002Sample0001SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0001ABS.dat
fdom_lag_4_22,aroundtheisland_run8,9,Group002Sample0002,Group002,Group002Sample0002SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0002ABS.dat
fdom_apr_2022,aroundtheisland_run8,10,Group002Sample0003,Group002,Group002Sample0003SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0003ABS.dat
fdom_apr_2022,aroundtheisland_run8,11,Group002Sample0004,Group002,Group002Sample0004SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0004ABS.dat
fdom_apr_2022,aroundtheisland_run8,12,Group002Sample0005,Group002,Group002Sample0005SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0005ABS.dat
fdom_apr_2022,aroundtheisland_run8,13,Group002Sample0006,Group002,Group002Sample0006SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0006ABS.dat
fdom_april_2022,aroundtheisland_run8,14,Group002Sample0007,Group002,Group002Sample0007SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0007ABS.dat
fdom_apr_22,aroundtheisland_run8,15,Group003Sample0001,Group003,Group003Sample0001SEM.dat,Group003Sample0001BEM.dat,Group001Sample0001BEM.dat,Group003Sample0001ABS.dat
fdom_04_22,aroundtheisland_run8,16,Group003Sample0002,Group003,Group003Sample0002SEM.dat,Group003Sample0001BEM.dat,Group001Sample0001BEM.dat,Group003Sample0002ABS.dat
fdom_april_2022,aroundtheisland_run8,17,Group003Sample0003,Group003,Group003Sample0003SEM.dat,Group003Sample0001BEM.dat,Group001Sample0001BEM.dat,Group003Sample0003ABS.dat
fdom_april_2022,aroundtheisland_run8,18,Group003Sample0004,Group003,Group003Sample0004SEM.dat,Group003Sample0001BEM.dat,Group001Sample0001BEM.dat,Group003Sample0004ABS.dat
fdom_april_2022,aroundtheisland_run8,19,Group003Sample0005,Group003,Group003Sample0005SEM.dat,Group003Sample0001BEM.dat,Group001Sample0001BEM.dat,Group003Sample0005ABS.dat
fdom_april_2022,aroundtheisland_run8,20,Group003Sample0006,Group003,Group003Sample0006SEM.dat,Group003Sample0001BEM.dat,Group001Sample0001BEM.dat,Group003Sample0006ABS.dat
fdom_4_22,aroundtheisland_run8,21,Group003Sample0007,Group003,Group003Sample0007SEM.dat,Group003Sample0001BEM.dat,Group001Sample0001BEM.dat,Group003Sample0007ABS.dat
fdom_april_2022,aroundtheisland_run8,22,Group004Sample0001,Group004,Group004Sample0001SEM.dat,Group003Sample0001BEM.dat,Group001Sample0001BEM.dat,Group004Sample0001ABS.dat
