Loaded	collection	name	UniqueID	sample	count	notes
1	BLANK1					
2	Mo22_0009	Channel 9		1	1	
1	Mo22_0005	Channel 5		2	2	
2	Mo22_0010	Channel 10		3	3	
1	Mo22_0004	Channel 4		4	4	
2	Mo22_0053	Channel 3		5	5	
1	Mo22_0051	Channel 1		6	6	
2	Mo22_0014	Channel 4		7	7	
1	BLANK2					
2	Mo22_0055	Channel 5		1	8	
1	Mo22_0016	Channel 6		2	9	
2	Mo22_0015	Channel 5		3	10	
1	Mo22_0052	Channel 2		4	11	
2	Mo22_0059	Channel 9		5	12	
1	Mo22_0013	Channel 3		6	13	
2	Mo22_0008	Channel 8		7	14	
1	BLANK3					
2	Mo22_0057	Channel 7		1	15	
1	Mo22_0017	Channel 7		2	16	
2	Mo22_0011	Channel 1		3	17	
1	Mo22_0007	Channel 7		4	18	
2	Mo22_0012	Channel 2		5	19	
1	Mo22_0058	Channel 8		6	20	
2	Mo22_0054	Channel 4		7	21	
1	BLANK4					
2	Mo22_0069	Channel 9		1	22	
1	Mo22_0077	Channel 7		2	23	
2	Mo22_0056	Channel 6		3	24	
1	Mo22_0075	Channel 5		4	25	
2	Mo22_0073	Channel 3		5	26	
1	Mo22_0590			6	27	
2	Mo22_0071	Channel 1		7	28	
1	BLANK5					
2	Mo22_0023	Channel 3		1	29	
1	Mo22_0074	Channel 4		2	30	
2	Mo22_0019	Channel 9		3	31	
1	Mo22_0587			4	32	
2	Mo22_0589			5	33	
1	Mo22_0034	Channel 4		6	34	
2	Mo22_0067	Channel 7		7	35	messed up and accidentally left the lid open...
1	BLANK6					
2	Mo22_0031	Channel 1		1	36	
1	Mo22_0068	Channel 8		2	37	
2	Mo22_0038	Channel 8		3	38	
1	Mo22_0039	Channel 9		4	39	
2	Mo22_0067	Channel 7		5	40	re-run
