UniqueID,run_name,run_order,sample,group,SEM_file,blank1,blank2,ABS_file
Mo22_0669,diel_run1,1,Group001Sample0001,Group001,Group001Sample0001SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0001ABS.dat
Mo22_0648,diel_run1,2,Group001Sample0002,Group001,Group001Sample0002SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0002ABS.dat
Mo22_0676,diel_run1,3,Group001Sample0003,Group001,Group001Sample0003SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0003ABS.dat
Mo22_0613,diel_run1,4,Group001Sample0004,Group001,Group001Sample0004SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0004ABS.dat
Mo22_0611,diel_run1,5,Group001Sample0005,Group001,Group001Sample0005SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0005ABS.dat
Mo22_0653,diel_run1,6,Group001Sample0006,Group001,Group001Sample0006SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0006ABS.dat
Mo22_0671,diel_run1,7,Group001Sample0007,Group001,Group001Sample0007SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0007ABS.dat
Mo22_0694,diel_run1,8,Group002Sample0001,Group002,Group002Sample0001SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0001ABS.dat
Mo22_0030,diel_run1,9,Group002Sample0002,Group002,Group002Sample0002SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0002ABS.dat
Mo22_0070,diel_run1,10,Group002Sample0003,Group002,Group002Sample0003SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0003ABS.dat
Mo22_0682,diel_run1,11,Group002Sample0004,Group002,Group002Sample0004SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0004ABS.dat
Mo22_0672,diel_run1,12,Group002Sample0005,Group002,Group002Sample0005SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0005ABS.dat
Mo22_0097,diel_run1,13,Group002Sample0006,Group002,Group002Sample0006SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0006ABS.dat
Mo22_0032,diel_run1,14,Group002Sample0007,Group002,Group002Sample0007SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0007ABS.dat
Mo22_0677,diel_run1,15,Group003Sample0001,Group003,Group003Sample0001SEM.dat,Group003Sample0001BEM.dat,Group005Sample0001BEM.dat,Group003Sample0001ABS.dat
Mo22_0683,diel_run1,16,Group003Sample0002,Group003,Group003Sample0002SEM.dat,Group003Sample0001BEM.dat,Group005Sample0001BEM.dat,Group003Sample0002ABS.dat
Mo22_0655,diel_run1,17,Group003Sample0003,Group003,Group003Sample0003SEM.dat,Group003Sample0001BEM.dat,Group005Sample0001BEM.dat,Group003Sample0003ABS.dat
Mo22_0600,diel_run1,18,Group003Sample0004,Group003,Group003Sample0004SEM.dat,Group003Sample0001BEM.dat,Group005Sample0001BEM.dat,Group003Sample0004ABS.dat
Mo22_0091,diel_run1,19,Group003Sample0005,Group003,Group003Sample0005SEM.dat,Group003Sample0001BEM.dat,Group005Sample0001BEM.dat,Group003Sample0005ABS.dat
Mo22_0028,diel_run1,20,Group003Sample0006,Group003,Group003Sample0006SEM.dat,Group003Sample0001BEM.dat,Group005Sample0001BEM.dat,Group003Sample0006ABS.dat
Mo22_0612,diel_run1,21,Group003Sample0007,Group003,Group003Sample0007SEM.dat,Group003Sample0001BEM.dat,Group005Sample0001BEM.dat,Group003Sample0007ABS.dat
Mo22_0095,diel_run1,22,Group004Sample0001,Group004,Group004Sample0001SEM.dat,Group005Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0001ABS.dat
Mo22_0657,diel_run1,23,Group004Sample0002,Group004,Group004Sample0002SEM.dat,Group005Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0002ABS.dat
Mo22_0585,diel_run1,24,Group004Sample0003,Group004,Group004Sample0003SEM.dat,Group005Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0003ABS.dat
Mo22_0062,diel_run1,25,Group004Sample0004,Group004,Group004Sample0004SEM.dat,Group005Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0004ABS.dat
Mo22_0681,diel_run1,26,Group004Sample0005,Group004,Group004Sample0005SEM.dat,Group005Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0005ABS.dat
Mo22_0651,diel_run1,27,Group004Sample0006,Group004,Group004Sample0006SEM.dat,Group005Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0006ABS.dat
Mo22_0670,diel_run1,28,Group004Sample0007,Group004,Group004Sample0007SEM.dat,Group005Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0007ABS.dat
Mo22_0591,diel_run1,29,Group005Sample0001,Group005,Group005Sample0001SEM.dat,Group005Sample0001BEM.dat,Group001Sample0001BEM.dat,Group005Sample0001ABS.dat
Mo22_0602,diel_run1,30,Group005Sample0002,Group005,Group005Sample0002SEM.dat,Group005Sample0001BEM.dat,Group001Sample0001BEM.dat,Group005Sample0002ABS.dat
Mo22_0673,diel_run1,31,Group005Sample0003,Group005,Group005Sample0003SEM.dat,Group005Sample0001BEM.dat,Group001Sample0001BEM.dat,Group005Sample0003ABS.dat
Mo22_0098,diel_run1,32,Group005Sample0004,Group005,Group005Sample0004SEM.dat,Group005Sample0001BEM.dat,Group001Sample0001BEM.dat,Group005Sample0004ABS.dat
Mo22_0024,diel_run1,33,Group005Sample0005,Group005,Group005Sample0005SEM.dat,Group005Sample0001BEM.dat,Group001Sample0001BEM.dat,Group005Sample0005ABS.dat
Mo22_0584,diel_run1,34,Group005Sample0006,Group005,Group005Sample0006SEM.dat,Group005Sample0001BEM.dat,Group001Sample0001BEM.dat,Group005Sample0006ABS.dat
Mo22_0601,diel_run1,35,Group005Sample0007,Group005,Group005Sample0007SEM.dat,Group005Sample0001BEM.dat,Group001Sample0001BEM.dat,Group005Sample0007ABS.dat
