UniqueID,run_name,run_order,sample,group,SEM_file,blank1,blank2,ABS_file
Mo22_0063,diel_run2,1,Group001Sample0001,Group001,Group001Sample0001SEM.dat,Group001Sample0001BEM.dat,Group003Sample0001BEM.dat,Group001Sample0001ABS.dat
Mo22_0663,diel_run2,2,Group001Sample0002,Group001,Group001Sample0002SEM.dat,Group001Sample0001BEM.dat,Group003Sample0001BEM.dat,Group001Sample0002ABS.dat
Mo22_0592,diel_run2,3,Group001Sample0003,Group001,Group001Sample0003SEM.dat,Group001Sample0001BEM.dat,Group003Sample0001BEM.dat,Group001Sample0003ABS.dat
Mo22_0029,diel_run2,4,Group001Sample0004,Group001,Group001Sample0004SEM.dat,Group001Sample0001BEM.dat,Group003Sample0001BEM.dat,Group001Sample0004ABS.dat
Mo22_0588,diel_run2,5,Group001Sample0005,Group001,Group001Sample0005SEM.dat,Group001Sample0001BEM.dat,Group003Sample0001BEM.dat,Group001Sample0005ABS.dat
Mo22_0020,diel_run2,6,Group001Sample0006,Group001,Group001Sample0006SEM.dat,Group001Sample0001BEM.dat,Group003Sample0001BEM.dat,Group001Sample0006ABS.dat
Mo22_0616,diel_run2,7,Group001Sample0007,Group001,Group001Sample0007SEM.dat,Group001Sample0001BEM.dat,Group003Sample0001BEM.dat,Group001Sample0007ABS.dat
Mo22_0026,diel_run2,8,Group002Sample0001,Group002,Group002Sample0001SEM.dat,Group003Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0001ABS.dat
Mo22_0679,diel_run2,9,Group002Sample0002,Group002,Group002Sample0002SEM.dat,Group003Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0002ABS.dat
Mo22_0064,diel_run2,10,Group002Sample0003,Group002,Group002Sample0003SEM.dat,Group003Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0003ABS.dat
Mo22_0052,diel_run2,11,Group002Sample0004,Group002,Group002Sample0004SEM.dat,Group003Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0004ABS.dat
Mo22_0082,diel_run2,12,Group002Sample0005,Group002,Group002Sample0005SEM.dat,Group003Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0005ABS.dat
Mo22_0018,diel_run2,13,Group002Sample0006,Group002,Group002Sample0006SEM.dat,Group003Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0006ABS.dat
Mo22_0649,diel_run2,14,Group002Sample0007,Group002,Group002Sample0007SEM.dat,Group003Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0007ABS.dat
Mo22_0065,diel_run2,15,Group003Sample0001,Group003,Group003Sample0001SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0001ABS.dat
Mo22_0674,diel_run2,16,Group003Sample0002,Group003,Group003Sample0002SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0002ABS.dat
Mo22_0606,diel_run2,17,Group003Sample0003,Group003,Group003Sample0003SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0003ABS.dat
Mo22_061,diel_run2,18,Group003Sample0004,Group003,Group003Sample0004SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0004ABS.dat
Mo22_022,diel_run2,19,Group003Sample0005,Group003,Group003Sample0005SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0005ABS.dat
Mo22_0658,diel_run2,20,Group003Sample0006,Group003,Group003Sample0006SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0006ABS.dat
Mo22_0647,diel_run2,21,Group003Sample0007,Group003,Group003Sample0007SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0007ABS.dat
Mo22_099,diel_run2,22,Group004Sample0001,Group004,Group004Sample0001SEM.dat,Group004Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0001ABS.dat
Mo22_066,diel_run2,23,Group004Sample0002,Group004,Group004Sample0002SEM.dat,Group004Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0002ABS.dat
Mo22_0607,diel_run2,24,Group004Sample0003,Group004,Group004Sample0003SEM.dat,Group004Sample0001BEM.dat,Group005Sample0001BEM.dat,Group004Sample0003ABS.dat
