Loaded	UniqueID	name	sample	count	notes
1	BLANK1				
2	Mo22_0778	C2_2	1	1	
	Mo22_0779	C2_3	2	2	
	Mo22_0780	PA_1	3	3	
	Mo22_0781	PA_2	4	4	
	Mo22_0782	PA_3	5	5	
	Mo22_0783	NPA_1	6	6	
	Mo22_0784	NPA_2	7	7	
	BLANK2				
	Mo22_0785	NPA_3	1	8	
	Mo22_0786	HA_1	2	9	
	Mo22_0787	HA_2	3	10	
	Mo22_0788	HA_3	4	11	
	Mo22_0789	NHA_1	5	12	
	Mo22_0790	NHA_2	6	13	
	Mo22_0791	NHA_3	7	14	
	BLANK3				
	Mo22_0792	AS_1	1	15	
	Mo22_0793	AS_2	2	16	
	Mo22_0794	AS_3	3	17	
	Mo22_0795	NAS_1	4	18	
	Mo22_0796	NAS_2	5	19	
	Mo22_0797	NAS_3	6	20	
	Mo22_0798	POVB2_1	7	21	
	BLANK4				
	Mo22_0799	POVB2_2	1	22	
	Mo22_0800	POVB2_3	2	23	
	Mo22_0212	SL_3 B8_1	3	24	Spiffy Lang sample
	Mo22_0696		4	25	SGD sample reruns
	C14_L_N_ 3.30.1900_rerun		5	26	SGD sample reruns
	C07_L_N_ 3.30.1900_rerun		6	27	SGD sample reruns
	C05_L_D_ 3.30.0700_rerun		7	28	SGD sample reruns
	BLANK5				
	C11_L_D_3_30_0700_rerun		1		SGD sample reruns
	C16_L_N_3_30_1900_rerun		2		SGD sample reruns
	C20_H_N_3_31_0100_rerun		3		SGD sample reruns
	C19_L_N_3_30_1900_rerun		4		SGD sample reruns
	C20_H_D_3_30_1300_rerun		5		SGD sample reruns
	C05_H_N_3_31_0100_rerun		6		SGD sample reruns
	C08_L_N_3_30_1900_rerun		7		SGD sample reruns
