Loaded	collection	date	UniqueID	sample	count	notes
1	BLANK1		BLANK1_			
2	C17_L_D	3_30_0700	C17_L_D_3_30_0700	1	1	
1	C09_H_D	3_30_1300	C09_H_D_3_30_1300	2	2	
2	C20_L_D	3_30_0700	C20_L_D_3_30_0700	3	3	
1	C02_L_D	3_30_0700	C02_L_D_3_30_0700	4	4	
2	C10_H_D	3_30_1300	C10_H_D_3_30_1300	5	5	
1	C18_H_D	3_30_1300	C18_H_D_3_30_1300	6	6	
2	C11_H_D	3_30_1300	C11_H_D_3_30_1300	7	7	
1	BLANK2		BLANK2_			
2	C03_L_D	3_30_0700	C03_L_D_3_30_0700	1	8	
1	C04_L_D	3_30_0700	C04_L_D_3_30_0700	2	9	
2	C_SeepD	3_30_1300	C_SeepD_3_30_1300	3	10	
1	C_SeepB	3_30_0700	C_SeepB_3_30_0700	4	11	
2	C17_H_D	3_30_1300	C17_H_D_3_30_1300	5	12	
1	CPit_F	3_30_0700	CPit_F_3_30_0700	6	13	
2	C12_H_D	3_30_1300	C12_H_D_3_30_1300	7	14	
1	BLANK3		BLANK3_			
2	C16_H_N	3_31_0100	C16_H_N_3_31_0100	1	15	
1	C05_H_D	3_30_1300	C05_H_D_3_30_1300	2	16	
2	CPitBottom_B	3_30_1300	CPitBottom_B_3_30_1300	3	17	
1	C08_L_D	3_30_0700	C08_L_D_3_30_0700	4	18	
2	C14_L_D	3_30_0700	C14_L_D_3_30_0700	5	19	
1	C13_L_D	3_30_0700	C13_L_D_3_30_0700	6	20	
2	CReefcrest_C	3_29_1300	CReefcrest_C_3_29_1300	7	21	
1	BLANK4		BLANK4_			
2	C19_HD	3_30_1300	C19_HD_3_30_1300	1	22	
1	C04_H_D	3_30_1300	C04_H_D_3_30_1300	2	23	
2	C06_H_D	3_30_1300	C06_H_D_3_30_1300	3	24	
1	CPit_G	3_30_1300	CPit_G_3_30_1300	4	25	
2	CPit_E	3_29_1900	CPit_E_3_29_1900	5	26	
1	C01_L_D	3_30_0700	C01_L_D_3_30_0700	6	27	
2	C16_H_D	3_30_1300	C16_H_D_3_30_1300	7	28	
1	BLANK5		BLANK5_			
2	C14_H_D	3_30_1300	C14_H_D_3_30_1300	1	29	
1	C06_L_D	3_30_0700	C06_L_D_3_30_0700	2	30	
2	CPit_D	3_30_0100	CPit_D_3_30_0100	3	31	
1	C_SeepC	3_30_1000	C_SeepC_3_30_1000	4	32	
2	CPit_C	3_29_1300	CPit_C_3_29_1300	5	33	
1	C18_L_D	3_30_0700	C18_L_D_3_30_0700	6	34	
2	C12_L_D	3_30_0700	C12_L_D_3_30_0700	7	35	
1	BLANK6		BLANK6_			
2	C08_H_D	3_30_1300	C08_H_D_3_30_1300	1	36	
1	CPitBottom_A	3_29_1500	CPitBottom_A_3_29_1500	2	37	
2	C10_L_D	3_30_0700	C10_L_D_3_30_0700	3	38	
1	CReefcrest_E	3_30_1300	CReefcrest_E_3_30_1300	4	39	
2	Creefcrest_H	3_31_0700	Creefcrest_H_3_31_0700	5	40	
1	CPit_J	3_31_0700	CPit_J_3_31_0700	6	41	
2	CSpringRoad	3_30_1600	CSpringRoad_3_30_1600	7	42	
1	BLANK7		BLANK7_			
2	CReefcrest_D	3_30_0100	CReefcrest_D_3_30_0100	1	43	
1	CSpringBeach	3_30_1800	CSpringBeach_3_30_1800	2	44	
2	CReefcrest_F	3_30_1900	CReefcrest_F_3_30_1900	3	45	
1	CPitBottom_D	3_31_0700	CPitBottom_D_3_31_0700	4	46	
2	C01_H_N	3_31_0100	C01_H_N_3_31_0100	5	47	
1	CReefcrest_G	3_31_0100	CReefcrest_G_3_31_0100	6	48	
2	CReefcrest_A	3_19_0100	CReefcrest_A_3_19_0100	7	49	
1	BLANK8		BLANK8_			
2	C20_L_N	3_30_1900	C20_L_N_3_30_1900	1	50	
1	CPitBottom_C	3_30_1900	CPitBottom_C_3_30_1900	2	51	
2	C15_L_D	3_30_0700	C15_L_D_3_30_0700	3	52	
1	C13_H_D	3_30_1300	C13_H_D_3_30_1300	4	53	
2	C19_L_D	3_30_0700	C19_L_D_3_30_0700	5	54	
1	C03_H_D	3_30_1300	C03_H_D_3_30_1300	6	55	
2	C07_H_D	3_30_1300	C07_H_D_3_30_1300	7	56	
1	BLANK9		BLANK9_			
2	C_SeepE	3_30_1600	C_SeepE_3_30_1600	1	57	
1	C01_H_D	3_30_1300	C01_H_D_3_30_1300	2	58	
2	C10_H_N	3_31_0100	C10_H_N_3_31_0100	3	59	
1	C15_H_N	3_31_0100	C15_H_N_3_31_0100	4	60	
2	C_SeepG	3_30_1000	C_SeepG_3_30_1000	5	61	
1	C17_H_N	3_31_0100	C17_H_N_3_31_0100	6	62	
2	C12_L_N	3_30_1900	C12_L_N_3_30_1900	7	63	
1	BLANK10		BLANK10_			
2	C16_L_D	3_30_0700	C16_L_D_3_30_0700	1	64	
