UniqueID	Blank	Samplepath	Blank1	Blank2	abs
ReRunBLANK3	Blank	rerun\Group003Sample0001BEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0001ABS.dat
ReRunBLANK4	Blank	rerun\Group004Sample0001BEM.dat	rerun\Group003Sample0001BEM.dat	rerun\Group005Sample0001BEM.dat	rerun\Group005Sample0001ABS.dat
C14_L_N_3_30_1900_rerun	Sample	rerun\Group004Sample0005SEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0001BEM.dat	rerun\Group004Sample0005ABS.dat
C07_L_N_3_30_1900_rerun	Sample	rerun\Group004Sample0006SEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0001BEM.dat	rerun\Group004Sample0006ABS.dat
C05_L_D_3_30_0700_rerun	Sample	rerun\Group004Sample0007SEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0001BEM.dat	rerun\Group004Sample0007ABS.dat
ReRunBLANK5	Blank	rerun\Group005Sample0001BEM.dat	rerun\Group003Sample0001BEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0001ABS.dat
C11_L_D_3_30_0700_rerun	Sample	rerun\Group005Sample0001SEM.dat	rerun\Group005Sample0001BEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0001ABS.dat
C16_L_N_3_30_1900_rerun	Sample	rerun\Group005Sample0002SEM.dat	rerun\Group005Sample0001BEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0002ABS.dat
C20_H_N_3_31_0100_rerun	Sample	rerun\Group005Sample0003SEM.dat	rerun\Group005Sample0001BEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0003ABS.dat
C19_L_N_3_30_1900_rerun	Sample	rerun\Group005Sample0004SEM.dat	rerun\Group005Sample0001BEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0004ABS.dat
C20_H_D_3_30_1300_rerun	Sample	rerun\Group005Sample0005SEM.dat	rerun\Group005Sample0001BEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0005ABS.dat
C05_H_N_3_31_0100_rerun	Sample	rerun\Group005Sample0006SEM.dat	rerun\Group005Sample0001BEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0006ABS.dat
C08_L_N_3_30_1900_rerun	Sample	rerun\Group005Sample0007SEM.dat	rerun\Group005Sample0001BEM.dat	rerun\Group004Sample0001BEM.dat	rerun\Group005Sample0007ABS.dat
MissedBLANK1	Blank	missed_samples\Group001Sample0001BEM.dat	missed_samples\Group002Sample0001BEM.dat	missed_samples\Group004Sample0001BEM.dat	missed_samples\Group001Sample0001ABS.dat
V10_H_D_3_21_1400	Sample	missed_samples\Group001Sample0001SEM.dat	missed_samples\Group001Sample0001BEM.dat	missed_samples\Group002Sample0001BEM.dat	missed_samples\Group001Sample0001ABS.dat
