Sample Name,Raman peak area of blanks,Total blank1 RU,Total Blank2 RU,Total sample RU after blank subtraction,Position in final database,M:C,BIX,HIX,FI,Ultra Violet Humic-like,Marine Humic-like,Visible Humic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Fulvic Acid-like,Optical Brighteners,Diesel Band II,Petroleum-like,Lignin-like,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,PARAFAC5,PARAFAC6
CBLANK1:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK10:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK11:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK12_bad:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK13:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK14:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK2:Blank: Removed from final dataset,35029.4654095998,64.2039692221501,63.6601000200337,0.251339978261208,0,,,,,0,0,0,0,0,0.00302239683200241,0,0,0,0,1.25148717146239E-05,0,0,0,0,0,0
CBLANK3:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK4:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK5:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK6:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK7:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK8:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLANK9:Blank: Removed from final dataset,34936.7405021306,63.6248337651082,64.3743716987325,0.196463752034571,0,,,65535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MissedBLANK1:Blank: Removed from final dataset,37187.9276911803,71.4623875299688,96.3105203574986,0.126531174280943,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MissedBLANK2:Blank: Removed from final dataset,38674.8514394725,92.6076903633338,92.6076903633338,0.186604816692259,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MissedBLANK3:Blank: Removed from final dataset,37187.9276911803,71.4623875299688,96.3105203574986,0.126531174280943,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MissedBLANK4:Blank: Removed from final dataset,35278.7870968112,75.3296334369669,65.7787773966268,0.230513902622816,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MissedBLANK5:Blank: Removed from final dataset,37187.9276911803,71.4623875299688,96.3105203574986,0.126531174280943,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MissedBLANK6:Blank: Removed from final dataset,37187.9276911803,71.4623875299688,96.3105203574986,0.126531174280943,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MissedBLANK7:Blank: Removed from final dataset,37187.9276911803,71.4623875299688,96.3105203574986,0.126531174280943,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MissedBLANK8:Blank: Removed from final dataset,37187.9276911803,71.4623875299688,96.3105203574986,0.126531174280943,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MissedBLANK9_:Blank: Removed from final dataset,37187.9276911803,71.4623875299688,96.3105203574986,0.126531174280943,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReRunBLANK3:Blank: Removed from final dataset,37082.1650388624,78.0334903963114,78.0334903963114,0.275978606673316,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
