Loaded	collection	date	UniqueID	sample	count
1	BLANK1		BLANK1_		
2	V09_1_D	3_21_0800	V09_L_D_3_21_0800	1	1
1	V13_L_D	3_21_0800	V13_L_D_3_21_0800	2	2
2	V07_L_D	3_21_0800	V07_L_D_3_21_0800	3	3
1	V30_L_D	3_21_0800	V30_L_D_3_21_0800	4	4
2	V17_L_D	3_21_0800	V17_L_D_3_21_0800	5	5
1	V05_L_D	3_21_0800	V05_L_D_3_21_0800	6	6
2	V06_L_D	3_21_0800	V06_L_D_3_21_0800	7	7
1	BLANK2		BLANK2_		
2	V19_L_D	3_21_0800	V19_L_D_3_21_0800	1	8
1	V02_L_D	3_21_0800	V02_L_D_3_21_0800	2	9
2	V10_L_D	3_21_0800	V10_L_D_3_21_0800	3	10
1	V16_L_N	3_21_1600	V16_L_N_3_21_1600	4	11
2	V12_L_D	3_21_0800	V12_L_D_3_21_0800	5	12
1	V15_L_N	3_21_1600	V15_L_N_3_21_1600	6	13
2	V13_L_N	3_21_1600	V13_L_N_3_21_1600	7	14
1	BLANK3		BLANK3_		
2	V09_L_N	3_21_1600	V09_L_N_3_21_1600	1	15
1	V19_L_N	3_21_1600	V19_L_N_3_21_1600	2	16
2	V01_L_D	3_21_0800	V01_L_D_3_21_0800	3	17
1	V05_L_N	3_21_1600	V05_L_N_3_21_1600	4	18
2	V06_L_N	3_21_1600	V06_L_N_3_21_1600	5	19
1	V08_L_N	3_21_1600	V08_L_N_3_21_1600	6	20
2	V01_L_N	3_21_1600	V01_L_N_3_21_1600	7	21
1	BLANK4		BLANK4_		
2	V02_L_N	3_21_1600	V02_L_N_3_21_1600	1	22
1	V17_L_N	3_21_1600	V17_L_N_3_21_1600	2	23
2	V01_H_N	3_22_0200	V01_H_N_3_22_0200	3	24
1	V04_H_N	3_22_0200	V04_H_N_3_22_0200	4	25
2	V02_H_N	3_22_0200	V02_H_N_3_22_0200	5	26
1	V14_H_N	3_22_0200	V14_H_N_3_22_0200	6	27
2	V11_L_N	3_21_1600	V11_L_N_3_21_1600	7	28
1	BLANK5		BLANK5_		
2	V16_H_N	3_22_0200	V16_H_N_3_22_0200	1	29
1	V17_H_N	3_22_0200	V17_H_N_3_22_0200	2	30
2	V20_H_N	3_22_0200	V20_H_N_3_22_0200	3	31
1	V06_H_N	3_22_0200	V06_H_N_3_22_0200	4	32
2	V11_H_N	3_22_0200	V11_H_N_3_22_0200	5	33
1	V18_H_N	3_22_0200	V18_H_N_3_22_0200	6	34
2	V03_H_N	3_22_0200	V03_H_N_3_22_0200	7	35
1	BLANK6		BLANK6_		
2	V19_H_N	3_22_0200	V19_H_N_3_22_0200	1	36
1	v10_H_N	3_22_0200	v10_H_N_3_22_0200	2	37
2	V05_H_N	3_30_2000	V05_H_N_3_30_2000	3	38
1	VReefcrest_O		VReefcrest_O_	4	39
2	Vseep_K	3_28_1900	Vseep_K_3_28_1900	5	40
1	VReefcrest_B	3_27_0200	VReefcrest_B_3_27_0200	6	41
2	VReefcrest_H	3_28_1400	VReefcrest_H_3_28_1400	7	42
1	BLANK7		BLANK7_		
2	VReefcrestM	3_29_2000	VReefcrestM_3_29_2000	1	43
1	VSeep_L	3_29_0700	VSeep_L_3_29_0700	2	44
2	VSeep_I	3_28_1700	VSeep_I_3_28_1700	3	45
1	VReefcrest_K	3_29_0800	VReefcrest_K_3_29_0800	4	46
2	VReefcrest_D	3_27_1400	VReefcrest_D_3_27_1400	5	47
1	V08_H_N	3_22_0200	V08_H_N_3_22_0200	6	48
2	V12_H_N	3_22_0200	V12_H_N_3_22_0200	7	49
1	BLANK8		BLANK8_		
2	VReefcrest_G	3_28_0800	VReefcrest_G_3_28_0800	1	50
1	VSeep_O	3_29_1100	VSeep_O_3_29_1100	2	51
2	VReefcrest_1	3_29_1400	VReefcrest_1_3_29_1400	3	52
1	VSeep_N	3_29_0900	VSeep_N_3_29_0900	4	53
2	VSeep_M	3_29_0800	VSeep_M_3_29_0800	5	54
1	VReefcrest_P	3_31_0200	VReefcrest_P_3_31_0200	6	55
2	Vreefcrest_A	3_26_1600	Vreefcrest_A_3_26_1600	7	56
1	BLANK9		BLANK9_		
2	VReefcrest_N	3_30_0200	VReefcrest_N_3_30_0200	1	57
1	VSeep_J	3_28_1800	VSeep_J_3_28_1800	2	58
2	empty	NA	empty_cuvet_varari	3	59
