Loaded	UniqueID	name	sample	count	notes
1	BLANK1				
2	Mo22_0117	SP_09_1	1	1	
1	Mo22_0119	SP_10_1	2	2	
2	Mo22_0101	SP_01_1	3	3	
1	Mo22_0121	SP_11_1	4	4	
2	Mo22_0131	SP_16_1	5	5	
1	Mo22_0123	SP_12_1	6	6	
2	Mo22_0133	SP_17_1	7	7	
1	BLANK2	SP_			
2	Mo22_0107	SP_04_1	1	8	
1	Mo22_0111	SP_06_1	2	9	
2	Mo22_0135	SP_18_1	3	10	visible particles
1	Mo22_0109	SP_05_1	4	11	
2	Mo22_0103	SP_02_1	5	12	
1	Mo22_0127	SP_14_1	6	13	
2	Mo22_0137	SP_19_1	7	14	
1	BLANK3	SP_			
2	Mo22_0125	SP_13_1	1	15	
1	Mo22_0129	SP_15_1	2	16	
2	Mo22_0115	SP_08_1	3	17	
1	Mo22_0113	SP_07_1	4	18	visible particles
2	Mo22_0105	SP_03_1	5	19	
