UniqueID,run_name,run_order,sample,group,SEM_file,blank1,blank2,ABS_file
C17_L_D_3_30_0700,cabral,1,Group001Sample0001,Group001,Group001Sample0001SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0001ABS.dat
C09_H_D_3_30_1300,cabral,2,Group001Sample0002,Group001,Group001Sample0002SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0002ABS.dat
C20_L_D_3_30_0700,cabral,3,Group001Sample0003,Group001,Group001Sample0003SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0003ABS.dat
C02_L_D_3_30_0700,cabral,4,Group001Sample0004,Group001,Group001Sample0004SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0004ABS.dat
C10_H_D_3_30_1300,cabral,5,Group001Sample0005,Group001,Group001Sample0005SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0005ABS.dat
C18_H_D_3_30_1300,cabral,6,Group001Sample0006,Group001,Group001Sample0006SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0006ABS.dat
C11_H_D_3_30_1300,cabral,7,Group001Sample0007,Group001,Group001Sample0007SEM.dat,Group001Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0007ABS.dat
C03_L_D_3_30_0700,cabral,8,Group002Sample0001,Group002,Group002Sample0001SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0001ABS.dat
C04_L_D_3_30_0700,cabral,9,Group002Sample0002,Group002,Group002Sample0002SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0002ABS.dat
C_SeepD_3_30_1300,cabral,10,Group002Sample0003,Group002,Group002Sample0003SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0003ABS.dat
C_SeepB_3_30_0700,cabral,11,Group002Sample0004,Group002,Group002Sample0004SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0004ABS.dat
C17_H_D_3_30_1300,cabral,12,Group002Sample0005,Group002,Group002Sample0005SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0005ABS.dat
CPit_F_3_30_0700,cabral,13,Group002Sample0006,Group002,Group002Sample0006SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0006ABS.dat
C12_H_D_3_30_1300,cabral,14,Group002Sample0007,Group002,Group002Sample0007SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0007ABS.dat
C16_H_N_3_31_0100,cabral,15,Group003Sample0001,Group003,Group003Sample0001SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0001ABS.dat
C05_H_D_3_30_1300,cabral,16,Group003Sample0002,Group003,Group003Sample0002SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0002ABS.dat
