Sample_ID,Site_Number,Date,Weight_ug,Percent_C,Percent_H,Percent_N,C_to_N_ratio
1,1,4/12/2022,2206,26.4148936,3.51650559,0.645019185,40.95
2,2,4/12/2022,2182,30.13684562,4.22046509,0.675613401,44.61
3,3,4/12/2022,2582,29.34417578,4.165029342,0.675208393,43.46
4,4,4/12/2022,2543,29.47237332,4.22408793,0.529295376,55.68
5,5,4/12/2022,2405,27.94721006,3.918267176,0.618298325,45.20
6,6,4/12/2022,2368,27.96322229,3.855333113,0.627959236,44.53
7,7,4/12/2022,2235,27.68335029,3.790148959,0.682534479,40.56
8,8,4/12/2022,2433,27.70439108,3.735340952,0.63225795,43.82
9,9,4/7/2022,2564,27.5948815,3.741577018,0.709946275,38.87
10,10,4/12/2022,2595,29.59545471,4.134722716,0.587847615,50.35
11,11,4/12/2022,2298,26.53570267,3.474342567,0.702871093,37.75
12,12,4/17/2022,2360,28.59701842,3.904737248,0.630087912,45.39
13,13,4/7/2022,2692,26.19071801,3.524422688,0.685713339,38.19
14,14,4/12/2022,2079,29.87307417,4.139362501,0.604264037,49.44
16,16,4/17/2022,2891,26.87262936,3.542418013,0.807009148,33.30
17,17,4/17/2022,2401,27.71912966,3.723261721,0.667379734,41.53
19,19,4/17/2022,2415,29.72293874,4.118344186,0.623290708,47.69
20,20,4/17/2022,2610,30.24674899,4.426172032,0.521558201,57.99
21,21,4/17/2022,2491,27.09937715,3.691179121,0.751401845,36.07
22,22,4/18/2022,2762,31.14515414,4.62798305,0.483377515,64.43
24,24,4/18/2022,2508,28.32602056,4.02174193,0.537550957,52.69
25,25,4/13/2022,2122,28.10979282,3.894154292,0.684679849,41.06
26,26,4/18/2022,2818,25.78774079,3.514794105,0.62240598,41.43
27,27,4/18/2022,2292,30.47699175,4.462843596,0.434019184,70.22
28,28,4/17/2022,2532,30.18068995,4.420764093,0.470422015,64.16
29,29,4/17/2022,2446,29.63315814,4.28076959,0.519069162,57.09
31,31,4/13/2022,2853,31.03074265,4.470391669,0.578067722,53.68
32,32,4/18/2022,2232,27.78722695,3.853841406,0.457414955,60.75
33,33,4/17/2022,2229,29.20578163,4.10447382,0.587218702,49.74
34,34,4/17/2022,2848,27.55153706,3.799363519,0.481971695,57.16
35,35,4/17/2022,2189,26.63351747,3.623056178,0.697395179,38.19
36,36,4/17/2022,2275,25.21047744,3.400487236,0.58644823,42.99
37,37,4/17/2022,2028,26.00300168,3.585353292,0.57564029,45.17
38,38,4/17/2022,2490,27.60458882,3.816285176,0.623395646,44.28
39,39,4/17/2022,2854,27.53710238,3.665472972,0.552877459,49.81
40,40,4/17/2022,2417,26.02487855,3.526774178,0.605070448,43.01
41,41,4/17/2022,2336,28.72978088,3.981913296,0.604084355,47.56
42,42,4/17/2022,2257,26.68852804,3.614238746,0.505866813,52.76
43,43,4/16/2022,2452,29.67837919,4.207308752,0.507491777,58.48
44,44,4/16/2022,2151,27.58913779,3.753741978,0.4294077,64.25
45,45,4/16/2022,2653,26.53232625,3.559049726,0.681804093,38.91
46,46,4/16/2022,2029,27.13201426,3.654275751,0.638582581,42.49
47,47,4/12/2022,2184,30.65351859,4.389005468,0.528649245,57.98
48,48,4/17/2022,2416,27.29709711,3.639467665,0.621250388,43.94
49,49,4/12/2022,2657,28.37814653,3.837237007,0.569728827,49.81
50,50,4/13/2022,2629,31.99834542,4.525161257,0.621190033,51.51
51,51,4/16/2022,2505,27.43140191,3.7202383,0.646806177,42.41
52,52,4/16/2022,2899,27.57687787,3.76521351,0.603256537,45.71
53,53,4/16/2022,2742,26.79782649,3.644442341,0.604969673,44.30
54,54,4/15/2022,2212,30.65839189,4.373761801,0.592961359,51.70
55,55,4/16/2022,2105,26.36935725,3.710946693,0.555905071,47.44
56,56,4/15/2022,2309,30.1853499,4.339977988,0.534636548,56.46
57,57,4/16/2022,2281,29.06984118,4.17746997,0.631399279,46.04
58,58,4/16/2022,2171,29.38077335,4.202468456,0.521235747,56.37
59,59,4/15/2022,2423,29.16866376,4.166544741,0.557246345,52.34
60,60,4/16/2022,2537,28.53965049,3.923627848,0.587961469,48.54
61,61,4/15/2022,2605,28.3983545,3.910016683,0.557804559,50.91
62,62,4/15/2022,2461,27.37840019,3.742588056,0.501615518,54.58
63,63,4/15/2022,2721,29.06393397,4.038913156,0.496217528,58.57
64,64,4/15/2022,2624,27.67425138,3.885255164,0.485157453,57.04
65,65,4/15/2022,2056,27.50250468,3.748790418,0.587917093,46.78
66,66,4/15/2022,2897,25.84996639,3.477216696,0.535869619,48.24
67,67,4/15/2022,2092,26.79773987,3.495777109,0.545821435,49.10
68,68,4/14/2022,2816,25.64614332,3.502641248,0.583175915,43.98
69,69,4/15/2022,2874,27.44762441,3.758420792,0.607119811,45.21
70,70,4/14/2022,2406,27.5655664,3.857646086,0.538577258,51.18
71,71,4/14/2022,2544,29.80750258,4.175002438,0.549707486,54.22
72,72,4/15/2022,2614,28.06084939,3.845933001,0.525170659,53.43
73,73,4/14/2022,2427,30.65883237,4.362164962,0.549776058,55.77
74,74,4/14/2022,2608,31.14129953,4.38995181,0.624767449,49.84
75,75,4/14/2022,2949,27.84138588,3.845396687,0.678690994,41.02
76,76,4/14/2022,2816,32.12587394,4.767990429,0.419157689,76.64
77,77,4/14/2022,2680,30.26862535,4.245886063,0.622344447,48.64
78,78,4/14/2022,2653,30.04440817,4.355371965,0.522286458,57.52
79,79,4/17/2022,2689,31.52720703,4.569607433,0.448496762,70.30
80,80,4/7/2022,2288,26.75371977,3.636996933,0.644857983,41.49
81,81,4/7/2022,2284,27.64237133,3.737380025,0.674073737,41.01
82,82,4/7/2022,2390,26.76508205,3.615643638,0.576289947,46.44
83,83,4/7/2022,2570,28.75149254,4.075184806,0.607384191,47.34
84,84,4/7/2022,2355,30.00342559,4.300427535,0.479023904,62.63
85,85,4/7/2022,2685,26.69303033,3.662350766,0.581369598,45.91
86,86,4/7/2022,2079,27.08199604,3.626037467,0.624640805,43.36
87,87,4/7/2022,2910,27.19613462,3.701185107,0.653618986,41.61
89,89,4/7/2022,2209,26.98974982,3.640673548,0.623509721,43.29
90,90,4/7/2022,2382,28.59849867,4.012631734,0.567211612,50.42
91,91,4/7/2022,2333,28.96418977,4.042596498,0.573502188,50.50
92,92,4/7/2022,2521,30.12112502,4.271671688,0.468294772,64.32
93,93,4/7/2022,2576,27.1660808,3.710438195,0.600877296,45.21
94,94,4/7/2022,2987,31.38940167,4.541652452,0.430368522,72.94
95,95,4/7/2022,2189,30.41328098,4.434308198,0.539319836,56.39
96,96,4/8/2022,2828,25.65374331,3.487671208,0.616910102,41.58
98,98,4/7/2022,2258,26.50692311,3.508323316,0.56350457,47.04
99,99,4/9/2022,2565,26.61790462,3.579979849,0.68527845,38.84
100,100,4/8/2022,2691,26.15410208,3.707114235,0.525478687,49.77
101,101,4/8/2022,2079,28.28821387,4.130854034,0.586564358,48.23
102,102,4/9/2022,2234,29.58702595,4.347029564,0.534252993,55.38
103,103,4/9/2022,2706,26.84529714,3.918397172,0.628037837,42.74
104,104,4/9/2022,2370,28.3469204,4.141813407,0.607598843,46.65
105,105,4/9/2022,2614,29.36637191,4.417884592,0.585623815,50.15
106,106,4/9/2022,2876,26.94852484,3.957561746,0.599936196,44.92
107,107,4/9/2022,2662,26.56145375,3.858143224,0.6725326,39.49
108,108,4/8/2022,2219,29.98425178,4.526394561,0.578788906,51.81
109,109,4/8/2022,2663,29.1372198,4.41907696,0.623564107,46.73
110,110,4/8/2022,2128,29.04143612,4.378237569,0.62182883,46.70
111,111,4/8/2022,2323,29.44354162,4.506412624,0.463522893,63.52
112,112,4/8/2022,2769,28.99701713,4.386926759,0.524731786,55.26
113,113,4/8/2022,2183,27.62087718,4.029339883,0.588333752,46.95
114,114,4/9/2022,2934,29.11656849,4.448749528,0.481957446,60.41
115,115,4/9/2022,2023,28.47061334,4.385037171,0.455307466,62.53
116,116,4/8/2022,2642,28.88620027,4.006083131,0.550640135,52.46
117,117,4/16/2022,2182,26.94746562,3.677703189,0.648865085,41.53
118,118,4/16/2022,2823,26.83644911,3.614276891,0.556746052,48.20
119,119,4/16/2022,2613,27.64954497,3.784495405,0.521954376,52.97
120,120,4/16/2022,2352,26.69617078,3.665922365,0.601965823,44.35
121,121,4/16/2022,2473,26.52764736,3.555679971,0.498978856,53.16
123,123,4/12/2022,2867,29.54051989,4.278860897,0.507426312,58.22
126,126,4/12/2022,2296,29.12156975,4.087897825,0.565732033,51.48
127,127,4/12/2022,2129,28.88083046,4.096553107,0.463682371,62.29
128,128,4/12/2022,2336,29.0588856,4.063898078,0.433714976,67.00
129,129,4/10/2022,2204,29.497402,4.177280354,0.447903706,65.86
130,130,4/16/2022,2117,28.25592943,3.858298707,0.607431054,46.52
131,131,4/16/2022,2247,29.32407446,4.061838254,0.647437133,45.29
132,132,4/10/2022,2404,29.10741536,4.014637492,0.567332273,51.31
133,133,4/16/2022,2375,28.74031045,3.973172009,0.601605399,47.77
134,134,4/12/2022,2531,29.40706754,4.123238808,0.518336608,56.73
135,135,4/16/2022,2129,27.92034222,3.810569895,0.680295004,41.04
136,136,4/12/2022,2838,29.06034656,4.08726687,0.474839118,61.20
137,137,4/16/2022,2484,27.6681641,3.83027301,0.61856215,44.73
138,138,4/12/2022,2697,29.65128408,4.299836363,0.597728723,49.61
139,139,4/10/2022,2288,28.22846429,3.931856012,0.660541835,42.74
140,140,4/10/2022,2112,26.25564106,3.499087013,0.60824894,43.17
142,142,4/10/2022,2884,28.47981335,3.942372902,0.589540459,48.31
143,143,4/10/2022,2214,27.66619378,3.833238063,0.591603624,46.76
144,144,4/15/2022,2202,28.49007119,3.953738661,0.554791147,51.35
145,145,4/11/2022,2481,28.88725686,4.038367023,0.533012799,54.20
146,146,4/11/2022,2115,29.5649699,4.17320129,0.56570281,52.26
147,147,4/15/2022,2055,29.4650248,4.028205391,0.612862822,48.08
148,148,4/15/2022,2414,27.49374786,3.634522946,0.646933323,42.50
149,149,4/15/2022,2534,27.71794268,3.754695405,0.675938837,41.01
150,150,4/18/2022,2800,28.28364895,3.884654229,0.517267165,54.68
151,151,4/15/2022,2568,26.94782649,3.68392269,0.510050788,52.83
152,152,4/15/2022,2072,28.21638298,3.7653292,0.58656,48.10
153,153,4/18/2022,2437,30.17818412,4.276248294,0.519930012,58.04
154,154,4/18/2022,2229,27.31403821,3.77380675,0.556846514,49.05
155,155,4/11/2022,2683,28.32290904,4.017193302,0.50117224,56.51
157,157,4/18/2022,2256,27.34450638,3.794851032,0.573106383,47.71
158,158,4/11/2022,2212,28.06238288,3.878865981,0.455914937,61.55
159,159,4/6/2022,2424,29.58979773,4.27712823,0.544053861,54.39
160,160,4/11/2022,2260,27.79269674,3.813179999,0.594975717,46.71
161,161,4/6/2022,2170,28.64774484,3.960461875,0.506446452,56.57
162,162,4/6/2022,2078,27.22889787,3.698465718,0.572422406,47.57
163,163,4/6/2022,2330,27.81489682,3.792419212,0.599297099,46.41
164,164,4/6/2022,2200,28.47572135,4.025807585,0.564186764,50.47
165,165,4/6/2022,2392,28.03231022,3.813095071,0.6216,45.10
166,166,4/6/2022,2787,28.05823296,3.945704914,0.426800775,65.74
167,167,4/6/2022,2575,28.48081558,3.923732857,0.602529553,47.27
168,168,4/6/2022,2545,29.11532717,4.127524202,0.533428055,54.58
169,169,4/6/2022,2015,29.10486263,3.941047246,0.630637089,46.15
170,170,4/6/2022,2018,29.40648562,4.066700569,0.62333897,47.18
171,171,4/6/2022,2711,28.54072977,4.00317915,0.629711303,45.32
172,172,4/11/2022,2946,26.19567131,3.661327491,0.640477618,40.90
173,173,4/11/2022,2223,28.3095502,4.035619506,0.536985861,52.72
175,175,4/11/2022,2780,26.68762469,3.615721185,0.526355809,50.70
176,176,4/6/2022,2760,27.98923501,3.736361344,0.632483487,44.25
177,177,4/6/2022,2512,27.11965776,3.806526393,0.516084842,52.55
178,178,4/6/2022,2346,26.96191463,3.771510937,0.514303181,52.42
179,179,4/6/2022,2082,27.54365812,3.968247673,0.468545997,58.79
180,180,4/13/2022,2923,27.82417753,3.976571308,0.588430734,47.29
181,181,4/6/2022,2913,29.30609108,4.170265082,0.47147933,62.16
182,182,4/6/2022,2374,27.16853713,3.82218341,0.63259319,42.95
183,183,4/6/2022,2895,29.45350879,4.200559543,0.527615759,55.82
184,184,4/13/2022,2429,28.05011859,3.987324744,0.581278869,48.26
185,185,4/6/2022,2458,28.97846262,4.146582273,0.631862901,45.86
186,186,4/11/2022,2367,28.41299165,3.846512648,0.576925835,49.25
187,187,4/6/2022,2403,27.89512626,3.81470886,0.476275068,58.57
188,188,4/6/2022,2702,29.12522143,4.175609704,0.476517436,61.12
200,200,4/12/2022,2265,28.38213354,3.95224754,0.470841346,60.28
201,201,4/17/2022,2309,28.31307192,3.928713877,0.478766704,59.14
202,202,4/13/2022,2065,26.9934701,3.592616383,0.642405222,42.02
203,203,4/8/2022,2357,26.810168,3.652225634,0.513159428,52.25
204,204,4/14/2022,2501,26.78361834,3.64102713,0.665618255,40.24
205,205,4/16/2022,2570,27.44031245,3.671647077,0.748958128,36.64
206,206,4/17/2022,2154,27.23676486,3.633878583,0.543407661,50.12
209,209,4/7/2022,2474,26.78486268,3.56759392,0.530946332,50.45
COOKS 1,Cook's_1,4/10/2022,2772,27.76862211,3.850141339,0.365957223,75.88
LTER 3 bck,LTER 3 Backreef,4/14/2022,2646,28.67051792,3.999163637,0.481687285,59.52
LTER 3 frg,LTER 3 Fringe,4/14/2022,2492,27.73054737,3.828474525,0.563643709,49.20
LTER 6 frg,LTER 6 Fringe,4/9/2022,2731,27.50098282,3.727286343,0.633372039,43.42
OPU 1,Opu_1,4/10/2022,2839,24.57852918,3.244323487,0.714641368,34.39
OPU 2,Opu_2,4/10/2022,2842,26.67469105,3.628912272,0.78799373,33.85
